EFFECT_FILES	FXOName	fxFile	folder	subFolder	undefined1	rangeForFallBack	distanceForFallBack	undefined2	undefined3	bitmask01	vertexFormat	techniqueGroup	sBranchDepthUS	sBranchDepthPS
"3,63,0,-1,0,-1"	actorhairstatic_fxo	actorhairstatic.fxo	1	0	-1	-1	-1	-1	-1	76251	4	0	2	2
"3,63,0,-1,0,-1"	actorhairstatic_spotlight_fxo	actorhairstatic_spotlight.fxo	1	0	-1	-1	-1	-1	-1	2523	4	0	2	2
"3,63,0,-1,0,-1"	actorindoor20_fxo	actorindoor20.fxo	1	0	-1	-1	4	-1	-1	76251	4	0	0	0
"3,63,0,-1,0,-1"	actorindoor20lod_fxo	actorindoor20lod.fxo	1	0	-1	-1	-1	-1	-1	67995	4	0	0	0
"3,63,0,-1,0,-1"	actorindoor30_fxo	actorindoor30.fxo	1	0	-1	-1	2	-1	-1	68059	4	0	0	0
"3,63,0,-1,0,-1"	actorindoorspotlight20_fxo	actorindoorspotlight20.fxo	1	0	-1	-1	-1	-1	-1	2523	4	0	0	0
"3,63,0,-1,0,-1"	actoroutdoor20_fxo	actoroutdoor20.fxo	1	0	-1	-1	5	-1	-1	76251	4	0	0	0
"3,63,0,-1,0,-1"	actoroutdoor20lod_fxo	actoroutdoor20lod.fxo	1	0	-1	-1	-1	-1	-1	67995	4	0	0	0
"3,63,0,-1,0,-1"	actoroutdoor30_fxo	actoroutdoor30.fxo	1	0	-1	-1	3	-1	-1	68059	4	0	0	0
"3,63,0,-1,0,-1"	actoroutdoorspotlight20_fxo	actoroutdoorspotlight20.fxo	1	0	-1	-1	-1	-1	-1	2523	4	0	0	0
"3,63,0,-1,0,-1"	animatedfallout_fxo	animatedfallout.fxo	0	0	-1	-1	-1	-1	-1	2281	4	0	0	0
"3,63,0,-1,0,-1"	actorindoor20_low_fxo	actorindoor20_low.fxo	1	0	-1	-1	-1	-1	-1	67995	4	0	0	0
"3,63,0,-1,0,-1"	actoroutdoor20_low_fxo	actoroutdoor20_low.fxo	1	0	-1	-1	-1	-1	-1	16845211	4	0	0	0
"3,63,0,-1,0,-1"	actorindoor1x_fxo	actorindoor1x.fxo	1	1	-1	-1	-1	-1	-1	67995	5	0	0	0
