EFFECTS_INDEX	name	fixedFunc	sm_11	sm_20_Low	sm_20_High	sm_30	sm_40	required
"3,63,0,-1,0,-1"	actorindoorhigh	-1	13	11	2	4	-1	1
"3,63,0,-1,0,-1"	actoroutdoorhigh	-1	15	12	6	8	-1	1
"3,63,0,-1,0,-1"	actorindoormid	-1	13	11	2	-1	-1	1
"3,63,0,-1,0,-1"	actoroutdoormid	-1	15	12	6	-1	-1	1
"3,63,0,-1,0,-1"	actorindoorlod	-1	13	11	3	-1	-1	1
"3,63,0,-1,0,-1"	actoroutdoorlod	-1	15	12	7	-1	-1	1
"3,63,0,-1,0,-1"	actorhair	-1	15	12	6	0	-1	1
"3,63,0,-1,0,-1"	actorhairspotlight	-1	14	5	5	1	-1	1
"3,63,0,-1,0,-1"	actorspotlight	-1	14	5	5	-1	-1	1
"3,63,0,-1,0,-1"	animatedfallout	-1	13	10	10	-1	-1	1
"3,63,0,-1,0,-1"	backgroundglow	-1	16	-1	-1	-1	-1	1
"3,63,0,-1,0,-1"	backgroundindoorhigh	-1	17	17	19	21	-1	1
"3,63,0,-1,0,-1"	backgroundindoorlod	-1	17	17	20	-1	-1	1
"3,63,0,-1,0,-1"	backgroundindoormid	-1	17	17	19	-1	-1	1
"3,63,0,-1,0,-1"	backgroundindoorgridhigh	-1	31	31	22	24	-1	1
"3,63,0,-1,0,-1"	backgroundindoorgridlod	-1	31	31	23	-1	-1	1
"3,63,0,-1,0,-1"	backgroundindoorgridmid	-1	31	31	22	-1	-1	1
"3,63,0,-1,0,-1"	backgroundindoorprophigh	-1	25	25	26	28	-1	1
"3,63,0,-1,0,-1"	backgroundindoorproplod	-1	25	25	27	-1	-1	1
"3,63,0,-1,0,-1"	backgroundindoorpropmid	-1	25	25	26	-1	-1	1
"3,63,0,-1,0,-1"	backgroundoutdoorhigh	-1	31	31	32	34	-1	1
"3,63,0,-1,0,-1"	backgroundoutdoorlod	-1	31	31	33	-1	-1	1
"3,63,0,-1,0,-1"	backgroundoutdoormid	-1	31	31	32	-1	-1	1
"3,63,0,-1,0,-1"	backgroundoutdoorprophigh	-1	37	37	38	40	-1	1
"3,63,0,-1,0,-1"	backgroundoutdoorproplod	-1	37	37	39	-1	-1	1
"3,63,0,-1,0,-1"	backgroundoutdoorpropmid	-1	37	37	38	-1	-1	1
"3,63,0,-1,0,-1"	backgroundsimple	-1	17	41	41	-1	-1	1
"3,63,0,-1,0,-1"	backgroundspotlight	-1	18	30	30	29	-1	1
"3,63,0,-1,0,-1"	backgroundspotlightsimple	-1	18	42	42	-1	-1	1
"3,63,0,-1,0,-1"	backgroundwater	-1	17	26	26	43	-1	1
"3,63,0,-1,0,-1"	backgroundwaterspotlight	-1	18	36	36	44	-1	1
"3,63,0,-1,0,-1"	fallout	-1	46	-1	-1	-1	-1	1
"3,63,0,-1,0,-1"	particle	-1	50	-1	-1	-1	-1	1
"3,63,0,-1,0,-1"	particle_distortion	-1	47	-1	-1	-1	-1	1
"3,63,0,-1,0,-1"	particle_dx10_rain	-1	-1	-1	-1	-1	48	0
"3,63,0,-1,0,-1"	particle_dx10_smoke	-1	-1	-1	-1	-1	49	0
"3,63,0,-1,0,-1"	particle_hellrift	-1	51	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	particle_mesh_fallout	-1	52	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	particlefadein	-1	53	-1	-1	-1	-1	1
"3,63,0,-1,0,-1"	particlemesh	-1	54	-1	-1	-1	-1	1
"3,63,0,-1,0,-1"	poison	-1	56	55	55	55	-1	1
"3,63,0,-1,0,-1"	screeneffect	-1	-1	57	57	-1	-1	0
"3,63,0,-1,0,-1"	simple	-1	58	-1	-1	-1	-1	1
"3,63,0,-1,0,-1"	skybox	-1	59	-1	-1	-1	-1	1
"3,63,0,-1,0,-1"	spectral	-1	61	60	60	60	-1	1
"3,63,0,-1,0,-1"	spectraladd	-1	63	62	62	62	-1	1
"3,63,0,-1,0,-1"	spectralsubtract	-1	69	68	68	68	-1	1
"3,63,0,-1,0,-1"	spectralmultiply	-1	67	66	66	66	-1	1
