EFFECTS_SHADERS	name	indoorEffect	outdoorEffect	indoorGridEffect	flashLightEffect	noCollide	forParticles
"3,63,0,-1,0,-1"	AnimatedFalloff	9	9	9	9	1	0
"3,63,0,-1,0,-1"	Appearance	0	1	0	8	0	0
"3,63,0,-1,0,-1"	Background	11	20	14	27	0	0
"3,63,0,-1,0,-1"	BackgroundDynamic	20	20	20	19	0	0
"3,63,0,-1,0,-1"	BackgroundGlow	10	10	10	10	0	0
"3,63,0,-1,0,-1"	BackgroundProp	17	23	23	27	0	0
"3,63,0,-1,0,-1"	BackgroundSimple	26	26	26	28	0	0
"3,63,0,-1,0,-1"	BackgroundWater	29	29	29	30	1	0
"3,63,0,-1,0,-1"	CloudScroll	43	43	43	43	1	0
"3,63,0,-1,0,-1"	Falloff	31	31	31	31	1	0
"3,63,0,-1,0,-1"	Hair	6	6	6	7	0	0
"3,63,0,-1,0,-1"	Particle	32	32	32	32	0	1
"3,63,0,-1,0,-1"	Particle_Distortion	33	33	33	33	0	1
"3,63,0,-1,0,-1"	Particle_DX10_Rain	34	34	34	34	0	1
"3,63,0,-1,0,-1"	Particle_DX10_Smoke	35	35	35	35	0	1
"3,63,0,-1,0,-1"	Particle_Hellrift	36	36	36	36	0	1
"3,63,0,-1,0,-1"	Particle_Mesh_Fallout	37	37	37	37	0	1
"3,63,0,-1,0,-1"	ParticleFadeIn	38	38	38	38	0	1
"3,63,0,-1,0,-1"	ParticleMesh	39	39	39	39	0	1
"3,63,0,-1,0,-1"	Poison	40	40	40	40	0	0
"3,63,0,-1,0,-1"	ScreenEffect	41	41	41	41	0	0
"3,63,0,-1,0,-1"	Simple	42	42	42	42	0	0
"3,63,0,-1,0,-1"	Spectral	44	44	44	44	0	0
"3,63,0,-1,0,-1"	SpectralAdd	45	45	45	45	0	0
"3,63,0,-1,0,-1"	SpectralMultiply	47	47	47	47	0	0
"3,63,0,-1,0,-1"	SpectralSubtract	46	46	46	46	0	0
