description	inventoryType	location	colorSetPriority	slotStat	maxSlotStat	unknown	bitmask	types0	types1	types2	types3	types4	types5	onlyItemsUsableByType0	onlyItemsUsableByType1	onlyItemsUsableByType2	onlyItemsUsableByType3	onlyItemsUsableByType4	onlyItemsUsableByType5	width	height	filter	checkClass	preventloc1	preventtype1a	preventtype1b	preventtype1c	preventtype1d	preventtype1e	preventtype1f	allowskill1	allowskill2	allowskill3	skillallowtype1a	skillallowtype1b	skillallowtype1c	skillallowtype1d	skillallowtype1e	skillallowtype1f	skillallowtype2a	skillallowtype2b	skillallowtype2c	skillallowtype2d	skillallowtype2e	skillallowtype2f	skillallowtype3a	skillallowtype3b	skillallowtype3c	skillallowtype3d	skillallowtype3e	skillallowtype3f	allowskilllevel1	allowskilllevel2	allowskilllevel3	weaponIndex	physicallyInContainer	tradeLocation	returnStuckItemsToStandardLoc	standardLocation	onPersonLocation	allowedHotkeySourceLocation	rewardLocation	serverOnlyLocation	cursorLocation	playerPutRestricted	playerTakeRestricted	invLocFallbackOnLoadError	
helm	1	1	2	250	-1	0	536877098	26	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
goggles	1	3	0	250	-1	0	536873002	22	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
shoulders	1	4	1	250	-1	0	536877098	21	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
torso	1	5	4	250	-1	0	536877098	27	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
rhand	1	7	0	250	-1	0	536873002	16	37	127	-40	0	0	1	0	0	0	0	0	1	1	1	1	8	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	-1
lhand	1	8	0	250	-1	0	536881194	39	37	126	0	0	0	1	0	0	0	0	0	1	1	1	1	7	38	0	0	0	0	0	30	238	-1	44	0	0	0	0	0	95	0	0	0	0	0	95	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	-1
arms	1	11	1	250	-1	0	536877098	28	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
belt	1	12	1	250	-1	0	536877098	29	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
boots	1	13	1	250	-1	0	536877098	30	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
pants	1	14	2	250	-1	0	536877098	25	31	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
biggrid	1	22	-1	250	-1	0	536870948	3	-74	0	0	0	0	1	0	0	0	0	0	6	24	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
smallgrid	1	23	-1	250	-1	0	536870950	0	0	0	0	0	0	1	0	0	0	0	0	6	4	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	1	0	0	0	0	0	-1
skillbook	1	24	-1	250	-1	0	38	74	0	0	0	0	0	1	0	0	0	0	0	128	1	1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	1	0	0	0	0	0	-1
majorpet	1	33	-1	-1	-1	0	706	116	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
minorpet	1	34	-1	-1	-1	0	710	117	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
taskrewards	1	39	-1	250	-1	0	33554438	3	0	0	0	0	0	1	0	0	0	0	0	64	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
weaponconfig	1	40	-1	-1	-1	0	603979782	16	40	0	0	0	0	1	0	0	0	0	0	12	1	0	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	1	1	0	0	0	0	0	-1
back	1	41	-1	250	-1	0	2090	-3	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
trade	1	42	-1	250	-1	0	25165828	3	-74	0	0	0	0	1	0	0	0	0	0	6	4	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	1	1	0	0	0	0	0	0	0	0	-1
reward	1	43	-1	250	-1	0	33554436	3	-74	0	0	0	0	1	0	0	0	0	0	8	4	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	1	0	0	"26,1,0"	0	45
quest_dialog_reward	1	44	-1	250	-1	0	33554436	3	-74	0	0	0	0	1	0	0	0	0	0	8	4	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
offeringstorage	1	45	-1	250	-1	0	6	3	0	0	0	0	0	1	0	0	0	0	0	128	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	1	0	"26,1,0"	"26,1,0"	-1
merchant_warehouse	1	46	-1	250	-1	0	32902	3	0	0	0	0	0	1	0	0	0	0	0	256	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	1	0	"26,1,0"	"26,1,0"	-1
active_personal_store_page_1	1	47	-1	250	-1	0	16516	16	0	0	0	0	0	1	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
active_personal_store_page_2	1	48	-1	250	-1	0	16516	17	0	0	0	0	0	1	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
active_personal_store_page_3	1	49	-1	250	-1	0	16516	18	0	0	0	0	0	1	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
stash	1	50	-1	250	-1	0	271581188	3	-74	0	0	0	0	1	0	0	0	0	0	6	100	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
cursor	1	51	-1	250	-1	0	2	3	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	0	0	0	1	0	0	-1
fire_elemental	1	53	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
physical_elemental	1	54	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
spectral_elemental	1	55	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
toxic_elemental	1	56	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
electrical_elemental	1	57	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
zombie	1	58	-1	298	-1	0	707	132	0	0	0	0	0	1	0	0	0	0	0	1	8	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
imp	1	59	-1	298	-1	0	707	79	0	0	0	0	0	1	0	0	0	0	0	1	10	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
quest_rts	1	68	-1	298	-1	0	134218435	64	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
squire	1	69	-1	-1	-1	0	834	203	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
cannon	1	70	-1	-1	-1	0	194	285	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
recipe_ingredients	1	71	-1	250	-1	0	262148	3	-74	0	0	0	0	1	0	0	0	0	0	8	4	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	1	0	0	0	0	"26,1,0"	0	-1
all_recipes_ingredients	1	72	-1	250	-1	0	134	3	-74	0	0	0	0	1	0	0	0	0	0	128	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
