ITEM_LEVELS	baseDamageMultiplyer	armor	armorBuffer	armorRegen	shields	shieldsBuffer	shieldsRegen	sfxAttackAbility	sfxDefenceAbility	interruptAttack	interruptDefence	stealthAttack	aiChangerAttack	feed	levelRequirement	itemLevelMin	itemLevelMax	buyPriceBase	sellPriceBase	augmentCostCommon	augmentCostRare	augmentCostLegendary	augmentCostRandom	scrapUpgradeQuantity	specialScrapUpgradeQuantity	itemLevelsPerUpgrade	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	"26,0,0"	"26,0,0"	100	400	1600	0	2	1	0
1	41	25	250	1	50	50	-2	25	25	15	15	15	15	10	1	1	7	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	100	400	1600	0	4	2	2
2	45	30	300	15	60	60	-2	30	30	20	20	20	20	11	1	1	8	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	200	800	3200	0	7	4	2
3	49	35	350	17	70	70	-2	35	35	25	25	25	25	13	1	1	9	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	300	1200	4800	0	10	5	2
4	53	40	400	20	80	80	-3	40	40	30	30	30	30	14	1	1	10	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	400	1600	6400	0	12	6	2
5	57	45	450	22	90	90	-3	45	45	35	35	35	35	16	1	1	11	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	500	2000	8000	0	14	7	2
6	61	50	500	25	100	100	-3	50	50	40	40	40	40	17	2	1	12	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	600	2400	9600	0	16	8	2
7	65	55	550	27	110	110	-3	55	55	45	45	45	45	19	3	1	13	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	700	2800	11200	0	18	9	2
8	69	60	600	30	120	120	-4	60	60	50	50	50	50	20	4	1	14	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	800	3200	12800	0	20	10	2
9	73	65	650	32	130	130	-4	65	65	55	55	55	55	22	5	1	15	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	900	3600	14400	0	22	11	2
10	77	70	700	35	146	146	-4	70	70	60	60	60	60	23	6	2	16	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1000	4000	16000	0	24	12	2
11	81	75	750	37	163	163	-5	75	75	65	65	65	65	25	6	3	17	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1100	4400	17600	0	26	13	2
12	85	80	800	40	180	180	-5	80	80	70	70	70	70	26	7	4	18	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1200	4800	19200	0	28	14	2
13	89	85	850	42	197	197	-5	85	85	75	75	75	75	28	8	5	19	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1300	5200	20800	0	30	15	2
14	93	90	900	45	214	214	-6	90	90	80	80	80	80	29	9	6	20	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1400	5600	22400	0	32	16	2
15	97	95	950	47	231	231	-6	95	95	85	85	85	85	31	10	7	21	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1500	6000	24000	0	34	17	2
16	101	100	1000	50	248	248	-7	100	100	90	90	90	90	32	11	8	22	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1600	6400	25600	0	36	18	2
