LEVEL_DRLGS	name	drlgRuleSet	drlgDisplayName	undefined1	style	theme0	theme1	theme2	theme3	theme4	theme5	theme6	theme7	theme8	theme9	theme10	theme11	theme12	theme13	theme14	theme15	theme16	theme17	theme18	theme19	weatherSet	environment	populateAllVisible	overrideChampionChance	championZoneRadius	markerSpawnChance	monsterRoomDensity	roomMonsterChance	critterRoomDensity	critterSpawnClass	maxTreasureDropRadius	randomState	randomStateRateMin	randomStateRateMax	randomStateRateDuration	havokFx	forceDrawAllRooms	isOutDoors
"3,62,0,-1,0,-1"	Holborn Station	DRLG Holborn Station	-1	63	Station	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	1	-1	0	0	0	0	0	-1	50	-1	0	0	0	0	0	0
"3,60,0,-1,0,-1"	Covent Garden Station	DRLG Covent Garden Station	-1	63	Station	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	1	-1	0	0	0	0	0	-1	50	-1	0	0	0	0	0	0
"3,62,0,-1,0,-1"	Tottenham Court	DRLG_TottenhamCourt	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	55	0	-1	150	0	0.5	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	Charing Cross Station	DRLG Charing Cross Station	-1	63	Station	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	1	-1	0	0	0	0	0	-1	50	-1	0	0	0	0	0	0
"3,60,0,-1,0,-1"	Temple Station	DRLG Temple Station	-1	63	Station	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	1	-1	0	0	0	0	0	-1	50	-1	0	0	0	0	0	0
"3,60,0,-1,0,-1"	Monument Station	DRLG Monument Station	-1	63	Station	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	1	-1	0	0	0	0	0	-1	50	-1	0	0	0	0	0	0
"3,60,0,-1,0,-1"	Liverpool Street Station	DRLG Liverpool Street Station	-1	63	Station	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	1	-1	0	0	0	0	0	-1	50	-1	0	0	0	0	0	0
"3,60,0,-1,0,-1"	St. Paul's Station	DRLG St. Paul's Station	-1	63	Station	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	1	-1	0	0	0	0	0	-1	50	-1	0	0	0	0	0	0
"3,62,0,-1,0,-1"	Tutorial	DRLG_PedMallTutorial	-1	1	City	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	1	-1	150	0	0.8	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	DestroyedStation	DRLG_DestroyedStation	-1	0	Station	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	1	-1	150	0	0.66	0	0	3	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	UndergroundPassage	DRLG_UndergroundPassage	-1	2	Tubes	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniTubesDepot	DRLG_MiniTubesDepot	-1	2	Tubes	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	1	-1	150	0	1.5	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniTubesShort	DRLG_MiniTubesShort	-1	2	Tubes	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	1	-1	150	0	1.5	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniTubesAndRooms	DRLG_MiniTubesAndRooms	-1	2	Tubes	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	1	-1	150	0	1.6	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	DeathsTunnels	DRLG_DeathsTunnels	-1	2	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	1	-1	150	0	1.16	0	0	-1	50	-1	0	0	0	1	0	0
"3,62,0,-1,0,-1"	MiniRooms	DRLG_MiniRooms	-1	2	Rooms	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	1	-1	150	0	1.9	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniRoomsAdventure	DRLG_MiniRoomsAdventure	-1	2	Rooms	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	1	-1	0	0	1.8	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniRoomsAdventureChampion	DRLG_MiniRoomsAdventure	-1	2	Rooms	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	1	0.35	0	0	1.9	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniRoomsAdventureSmall	DRLG_MiniRoomsAdventureSmall	-1	2	Rooms	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	1	-1	150	0	1.8	0	0	-1	50	-1	0	0	0	1	0	0
"3,63,0,-1,0,-1"	MiniRoomsDark	DRLG_MiniRoomsDark	-1	2	Rooms	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	1	-1	150	0	1.5	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	AldwychDark	DRLG AldwychDark	-1	2	Rooms	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	1	-1	150	0	1.5	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniTubes	DRLG_MiniTubes	-1	2	Tubes	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	1	-1	150	0	1.5	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniTubesStationA	DRLG_MiniTubesStationA	-1	2	Tubes	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	1	-1	150	0	1.5	0	0	-1	50	-1	0	0	0	1	0	0
