"LEVELSCALING"	"PlayerAttackMonsterDmg"	"PlayerAttackMonsterExp"	"MonsterAttackPlayerDmg"	"PlayerAttackPlayerDmg"
-100	1	195	100	1
-99	1	195	100	1
-98	1	195	100	1
-97	1	195	100	1
-96	1	195	100	1
-95	1	195	100	1
-94	1	195	100	1
-93	1	195	100	1
-92	1	195	100	1
-91	1	195	100	1
-90	1	195	100	1
-89	1	195	100	1
-88	1	195	100	1
-87	1	195	100	1
-86	1	195	100	1
-85	1	195	100	1
-84	1	195	100	1
-83	1	195	100	1
-82	1	195	100	1
-81	1	195	100	1
-80	1	195	100	1
-79	1	195	100	1
-78	1	195	100	1
-77	1	195	100	1
-76	1	195	100	1
-75	1	195	100	1
-74	1	195	100	1
-73	1	195	100	1
-72	1	195	100	1
-71	1	195	100	1
-70	1	195	100	1
-69	1	195	100	1
-68	1	195	100	1
-67	1	195	100	1
-66	1	195	100	1
-65	1	195	100	1
-64	1	195	100	1
-63	1	195	100	1
-62	1	195	100	1
-61	1	195	100	1
-60	1	195	100	1
-59	1	195	100	1
-58	1	195	100	1
-57	1	195	100	1
-56	1	195	100	1
-55	1	195	100	1
-54	1	195	100	1
-53	1	195	100	1
-52	1	195	100	1
-51	1	195	100	1
-50	1	195	100	1
-49	1	195	100	1
-48	1	195	100	1
-47	1	195	100	1
-46	1	195	100	1
-45	1	195	100	1
-44	1	195	100	1
-43	1	195	100	1
-42	1	195	100	1
-41	1	195	100	1
-40	1	195	100	1
-39	1	195	100	1
-38	1	195	100	1
-37	1	195	100	1
-36	1	195	100	1
-35	1	195	100	1
-34	1	195	100	1
-33	1	195	100	1
-32	1	195	100	1
-31	1	195	100	1
-30	1	195	100	1
-29	1	195	100	1
-28	1	195	100	1
-27	1	195	100	1
-26	1	195	100	1
-25	1	195	100	1
-24	1	195	100	1
-23	1	195	100	1
-22	1	195	100	1
-21	1	195	100	1
-20	1	195	100	1
-19	1	195	100	1
-18	1	195	100	1
-17	1	195	100	1
-16	1	195	100	1
-15	1	195	100	5
-14	1	195	100	10
-13	1	195	100	20
-12	3	190	100	30
-11	7	180	100	40
-10	16	170	100	50
-9	25	160	100	60
-8	38	150	100	70
-7	54	140	100	80
-6	70	130	100	90
-5	83	120	100	100
-4	92	110	100	100
-3	97	105	100	100
-2	100	100	100	100
-1	100	100	100	100
0	100	100	100	100
1	100	90	100	100
2	100	78	100	100
3	100	65	104	100
4	100	50	108	100
5	100	37	116	100
6	100	24	128	100
7	100	14	145	100
8	100	8	166	100
9	100	4	191	100
10	100	2	220	100
11	100	1	254	100
12	100	0	292	100
13	100	0	334	100
14	100	0	380	100
15	100	0	431	100
16	100	0	486	100
17	100	0	545	100
18	100	0	608	100
19	100	0	676	100
20	100	0	748	100
21	100	0	824	100
22	100	0	904	100
23	100	0	989	100
24	100	0	1078	100
25	100	0	1171	100
26	100	0	1268	100
27	100	0	1370	100
28	100	0	1476	100
29	100	0	1586	100
30	100	0	1700	100
31	100	0	1819	100
32	100	0	1942	100
33	100	0	2069	100
34	100	0	2200	100
35	100	0	2336	100
36	100	0	2476	100
37	100	0	2620	100
38	100	0	2768	100
39	100	0	2921	100
40	100	0	3078	100
41	100	0	3239	100
42	100	0	3404	100
43	100	0	3574	100
44	100	0	3748	100
45	100	0	3926	100
46	100	0	4108	100
47	100	0	4295	100
48	100	0	4486	100
49	100	0	4681	100
50	100	0	4880	100
51	100	0	5084	100
52	100	0	5292	100
53	100	0	5504	100
54	100	0	5720	100
55	100	0	5941	100
56	100	0	6166	100
57	100	0	6395	100
58	100	0	6628	100
59	100	0	6866	100
60	100	0	7108	100
61	100	0	7354	100
62	100	0	7604	100
63	100	0	7859	100
64	100	0	8118	100
65	100	0	8381	100
66	100	0	8648	100
67	100	0	8920	100
68	100	0	9196	100
69	100	0	9476	100
70	100	0	9760	100
71	100	0	10049	100
72	100	0	10342	100
73	100	0	10639	100
74	100	0	10940	100
75	100	0	11246	100
76	100	0	11556	100
77	100	0	11870	100
78	100	0	12188	100
79	100	0	12511	100
80	100	0	12838	100
81	100	0	13169	100
82	100	0	13504	100
83	100	0	13844	100
84	100	0	14188	100
85	100	0	14536	100
86	100	0	14888	100
87	100	0	15245	100
88	100	0	15606	100
89	100	0	15971	100
90	100	0	16340	100
91	100	0	16714	100
92	100	0	17092	100
93	100	0	17474	100
94	100	0	17860	100
95	100	0	18251	100
96	100	0	18646	100
97	100	0	19045	100
98	100	0	19448	100
99	100	0	19856	100
100	100	0	20268	100
