"LOADING_TIPS"	"LOADING_TIPS"	"stringKey"	"weight"	"condition"	"dontUseWithoutAGame"
"3,63,0,-1,0,-1"	"LoadingTipInventory"	8699	20	"666,0,26,5,426,0"	0
"3,63,0,-1,0,-1"	"LoadingTipSkills"	8700	20	"666,0,26,5,426,0"	0
"3,63,0,-1,0,-1"	"LoadingTipSkillPoints01"	8711	1	"666,0,26,5,426,0"	0
"3,63,0,-1,0,-1"	"LoadingTipSkillPoints02"	8712	30	"666,1367343104,26,2,437,0"	1
"3,63,0,-1,0,-1"	"StatPoints01"	8711	1	"666,0,26,10,426,0"	0
"3,63,0,-1,0,-1"	"StatPoints02"	8712	30	"666,624951296,26,10,437,0"	1
"3,63,0,-1,0,-1"	"ShiftSkills01"	8715	1	"666,0,26,8,426,0"	0
"3,63,0,-1,0,-1"	"ShiftSkills02"	8716	1	"666,0,26,4,437,516,52,666,0,26,20,426,538,0"	1
"3,63,0,-1,0,-1"	"ShiftSkills03"	8717	1	"666,0,26,20,426,0"	1
"3,63,0,-1,0,-1"	"FeedStrength"	8702	1	"666,0,26,15,426,0"	0
"3,63,0,-1,0,-1"	"FeedWillpower01"	8704	1	"711,26,63,3,153,0"	1
"3,63,0,-1,0,-1"	"FeedWillpower02"	8705	1	0	0
"3,63,0,-1,0,-1"	"FeedWillpower03"	8708	1	"711,26,65,3,153,0"	1
"3,63,0,-1,0,-1"	"FeedWillpower04"	8706	1	"711,26,266,3,153,0"	1
"3,63,0,-1,0,-1"	"FeedAccuracy"	8703	1	"666,0,26,15,426,0"	0
"3,63,0,-1,0,-1"	"FeedStamina01"	8707	1	"711,26,247,3,153,0"	1
"3,63,0,-1,0,-1"	"FeedStamina02"	8709	1	"711,26,65,3,153,0"	1
"3,63,0,-1,0,-1"	"FeedStamina03"	8710	1	"711,26,64,3,153,0"	1
"3,63,0,-1,0,-1"	"TownPortal01"	8719	1	"666,0,26,10,426,0"	0
"3,63,0,-1,0,-1"	"Analyzer01"	8720	1	"666,0,26,6,426,0"	0
"3,63,0,-1,0,-1"	"ControlKey01"	8718	1	"666,0,26,5,437,516,52,666,0,26,20,426,538,0"	0
