"MELEEWEAPONS"	"name"	"name2"	"undefined1"	"name3"	"undefined2"	"tinyHit"	"tinyDefault"	"tinyPhysical"	"tinyFire"	"tinyElectric"	"tinySpectral"	"tinyToxic"	"tinyPoison"	"softHit"	"softDefault"	"softPhysical"	"softFire"	"softElectric"	"softSpectral"	"softToxic"	"softPoison"	"unknown1"	"unknown2"	"mediumPhysical"	"mediumFire"	"mediumElectric"	"mediumSpectral"	"unknown3"	"unknown4"	"hardHit"	"hardDefault"	"hardPhysical"	"hardFire"	"hardElectric"	"hardSpectral"	"hardToxic"	"hardPoison"	"kill"	"killDefault"	"killPhysical"	"killFire"	"killElectric"	"killSpectral"	"killToxic"	"killPoison"	"block"	"blockDefault"	"blockPhysical"	"blockFire"	"blockElectric"	"blockSpectral"	"blockToxic"	"blockPoison"	"fumble"	"fumbleDefault"	"fumblePhysical"	"fumbleFire"	"fumbleElectric"	"fumbleSpectral"	"fumbleToxic"	"fumblePoison"
"3,63,0,-1,0,-1"	"Antimatter Sword"	"weapon/melee/AntimatterSwordSwing"	-1	"weapons/melee impacts"	0	"Sword E Med Impact 1"								"Sword E Med Impact 1"								"Sword E Big Impact 1"								"Sword E Big Impact 1"								"Sword E critical impact 1"																							
"3,63,0,-1,0,-1"	"Assassin Shiv"	"weapon/melee/AsassinShivSwing"	-1	"weapons/melee impacts"	0	"Sword C Med Impact 1"								"Sword C Med impact 1"								"Sword C Big Impact 1"								"Sword C Big Impact 1"								"Sword C critical impact 1"																							
"3,63,0,-1,0,-1"	"Chaos Blade"	"weapon/melee/ChaosBlade"	-1	"weapons/melee impacts"	0	"Sword A Med Impact 1"								"Sword A Med Impact 1"								"Sword A Big Impact 1"								"Sword A Big Impact 1"								"Sword A critical impact 1"																							
"3,63,0,-1,0,-1"	"Conversion Stick"	"weapon/melee/ConversionStickSwing"	-1	"weapons/melee impacts"	0	"Sword E Med Impact 1"								"Sword E Med Impact 1"								"Sword E Big Impact 1"								"Sword E Big Impact 1"								"Sword E critical impact 1"																							
"3,63,0,-1,0,-1"	"Corrupt Blade"	"weapon/melee/CorruptBladeSwing"	-1	"weapons/melee impacts"	0	"Sword C Med impact 1"								"Sword C Med impact 1"								"Sword C Big impact 1"								"Sword C Big Impact 1"								"Sword C critical impact 1"																							
"3,63,0,-1,0,-1"	"Cricket Bat"	"weapon/melee/CricketBatSwing"	-1	"weapons/melee impacts"	0	"Physical Wood soft impact 1"								"Physical Wood Medium impact 1"								"Physical Wood Medium impact 1"								"Physical Wood critical impact 1"								"Physical wood critical impact 1"																							
"3,63,0,-1,0,-1"	"Dimensional Bisector"	"weapon/melee/DimensionalBisectorSwing"	-1	"weapons/melee impacts"	0	"Sword E Med Impact 1"								"Sword E Med Impact 1"								"Sword E Big Impact 1"								"Sword E Big Impact 1"								"Sword E critical impact 1"																							
"3,63,0,-1,0,-1"	"Flame Column"	"weapon/melee/FlameColumnSwing"	-1	"weapons/melee impacts"	0	"Sword A Med Impact 1"								"Sword A Med Impact 1"								"Sword A Big Impact 1"								"Sword A Big Impact 1"								"Sword A critical impact 1"																							
"3,63,0,-1,0,-1"	"Hive Blade"	"weapon/melee/HiveBladeSwing"	-1	"weapons/melee impacts"	0	"Hive Blade Med Impact 1"								"Hive Blade Med Impact 1"								"Hive Blade Big impact 1"								"Hive Blade Big impact 1"								"Hive Blade critical impact 1"																							
"3,63,0,-1,0,-1"	"Holy Handsword"	"weapon/melee/holyhandswordswing"	-1	"weapons/melee impacts"	0	"Sword B Med Impact 1"								"Sword B Med Impact 1"								"Sword B Big Impact 1"								"Sword B Big Impact 1"								"Sword B critical impact 1"																							
"3,63,0,-1,0,-1"	"Holy Katana"	"weapon/melee/holykatanaswing"	-1	"weapons/melee impacts"	0	"Sword B Med Impact 1"								"Sword B Med Impact 1"								"Sword B Big Impact 1"								"Sword B Big Impact 1"								"Sword B critical impact 1"																							
"3,63,0,-1,0,-1"	"Holy Negotiator"	"weapon/melee/HolyNegotiatorSwing"	-1	"weapons/melee impacts"	0	"Sword B Med Impact 1"								"Sword B Med Impact 1"								"Sword B Big Impact 1"								"Sword B Big Impact 1"								"Sword B critical impact 1"																							
"3,63,0,-1,0,-1"	"Injector"	"weapon/melee/InjectorSwing"	-1	"weapons/melee impacts"	0	"Sword C Med Impact 1"								"Sword C Med impact 1"								"Sword C Big Impact 1"								"Sword C Big Impact 1"								"Sword C critical impact 1"																							
"3,63,0,-1,0,-1"	"Jacobs Lasher"	"weapon/melee/jacobs lasher swing"	-1	"weapons/melee impacts"	0	"Sword C Med Impact 1"								"Sword C Med impact 1"								"Sword C Big Impact 1"								"Sword C Big Impact 1"								"Sword C critical impact 1"																							
"3,63,0,-1,0,-1"	"Jagged Shredder"	"weapon/melee/JaggedShredderSwing"	-1	"weapons/melee impacts"	0	"Sword B Med Impact 1"								"Sword B Med Impact 1"								"Sword B Big Impact 1"								"Sword B Big Impact 1"								"Sword B critical impact 1"																							
"3,63,0,-1,0,-1"	"Lightning Sword"	"weapon/melee/LightningSwordSwing"	-1	"weapons/melee impacts"	0	"Lightning Blade Med Impact 1"								"Lightning Blade Med Impact 1"								"Lightning Blade Big Impact 1"								"Lightning Blade Big Impact 1"								"Lightning Blade critical Impact 1"																							
"3,63,0,-1,0,-1"	"Meteor Blade"	"weapon/melee/MeteorBladeSwing"	-1	"weapons/melee impacts"	0	"Sword D Med Impact 1"								"Sword D Med Impact 1"								"Sword D Big Impact 1"								"Sword D Big Impact 1"								"Sword D critical impact 1"																							
"3,63,0,-1,0,-1"	"Molten Edge"	"weapon/melee/MoltenEdgeSwing"	-1	"weapons/melee impacts"	0	"Sword A Med Impact 1"								"Sword A Med Impact 1"								"Sword A Big Impact 1"								"Sword A Big Impact 1"								"Sword A critical impact 1"																							
"3,63,0,-1,0,-1"	"Phantasmic Reaper"	"weapon/melee/PhantasmicReaperSwing"	-1	"weapons/melee impacts"	0	"Sword E Med Impact 1"								"Sword E Med Impact 1"								"Sword E Big Impact 1"								"Sword E Big Impact 1"								"Sword E critical impact 1"																							
"3,63,0,-1,0,-1"	"Plague Scourge"	"weapon/melee/plaguescourgeswing"	-1	"weapons/melee impacts"	0	"Stun Baton Med Impact 1"								"Stun Baton Med Impact 1"								"Stun Baton Big Impact 1"								"Stun Baton Big Impact 1"								"Stun Baton critical impact 1"																							
"3,63,0,-1,0,-1"	"Razor Lord"	"weapon/melee/razorlordswing"	-1	"weapons/melee impacts"	0	"Sword A Med Impact 1"								"Sword A Med Impact 1"								"Sword A Big Impact 1"								"Sword A Big Impact 1"								"Sword A critical impact 1"																							
"3,63,0,-1,0,-1"	"Retribution Spike"	"weapon/melee/Retribution Spike Swing"	-1	"weapons/melee impacts"	0	"Spike Med impact"								"Spike Med impact"								"Spike Big impact"								"Spike Big impact"								"Spike Crit impact"																							
"3,63,0,-1,0,-1"	"Shatter Scythe"	"weapon/melee/ShatterScytheSwing"	-1	"weapons/melee impacts"	0	"Sword B Med Impact 1"								"Sword B Med Impact 1"								"Sword B Big Impact 1"								"Sword B Big Impact 1"								"Sword B critical impact 1"																							
"3,63,0,-1,0,-1"	"ShieldBash"	"weapon/melee/ShieldBashSwing"	-1	"weapons/melee impacts"	0	"Shield Bash Impact 1"								"Shield Bash Impact 1"								"Shield Bash Impact 1"								"Shield Bash Impact 1"								"Shield Bash Impact 1"																							
