OFFER	code	noDuplicates	doNotIdentify	numAllowedTakes	treasure0UnitType	treasure0	treasure1UnitType	treasure1	treasure2UnitType	treasure2	treasure3UnitType	treasure3	treasure4UnitType	treasure4	treasure5UnitType	treasure5	treasure6UnitType	treasure6	treasure7UnitType	treasure7	offerString	
Quest_Tutorial_Notes	17474	1	0	-1	-1	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Tutorial_Reward	19521	0	0	-1	-1	81	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Ferry_Reward	18497	0	0	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Hellyard_Fawkes	18753	1	0	-1	-1	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_TestMonkey_Bomb	19009	1	0	-1	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Dark_Monocles	16705	1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Dark_Reward	16961	0	0	1	-1	93	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Joey_Leg	17729	1	0	-1	-1	82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11529
Quest_Joey_Reward	17217	0	0	-1	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11532
Quest_Lost_Reward	17473	0	0	-1	63	90	1	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Timeorb_PDA	17985	1	0	-1	-1	87	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11549
Quest_TimeOrb_Reward	18241	0	0	-1	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_War_Reward	19265	0	0	-1	-1	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11588
Quest_Death_Tech_Body	19777	1	0	-1	-1	116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Death_Reward	20033	0	0	1	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Books_Oracle	20289	1	0	-1	-1	118	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Stitch_A_Oracle_Part	17730	1	0	-1	-1	119	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Stitch_B_Oracle_Part	17986	1	0	-1	-1	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Stitch_Oracle_Complete	20545	1	0	-1	-1	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Quest_Hidden_Beauty	21057	1	0	-1	-1	122	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPanicReward	22081	0	0	1	-1	150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestStrangeBrewReward	22337	0	0	1	-1	152	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestBiggerReward	22593	0	0	1	-1	153	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDawnReward	22849	0	0	1	-1	154	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDayReward	23105	0	0	1	-1	156	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11719
QuestNightReward	24897	0	0	1	-1	157	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11725
QuestCabalistClassCGS2Reward	25153	0	0	1	-1	163	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTemplarClassCGS2Reward	25409	0	0	1	-1	164	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestHunterClassCGS2Reward	25665	0	0	1	-1	165	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestBookstoreSearchReward	25921	0	0	1	-1	166	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestGPAInfestReward	26177	0	0	1	-1	167	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestAAHuntReward	26433	0	0	1	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
