name	code	style	nameStringKey	subscriberOnly	startingQuestCheat	closeOnComplete	repeatable	repeatRateInSeconds	skipActivateFanfare	skipCompleteFanfare	endOfActNumber	autoTrackOnActivate	autoActivateLevel	onlyOneDifficulty	currentlyUnavailable	minLevelPreReq	maxLevelPreReq	factionTypePreReq	factionAmountPreReq	startingItemsTreasureClass	removeStartingItemsOnComplete	offerReward	castGiver	levelStoryQuestStartsIn	castRewarder	levelRewarderNpc	giverItem	giverItemDropRate	level	levelNightmare	experienceMultiplier	moneyMultiplier	statPoints	skillPoints	factionTypeReward	factionAmountReward	InitFunction	FreeFunction	onEnterGameFunction	warpToOpenOnActivate	warpToOpenOnComplete	versionFunction	beatGameOnComplete	weight	radius	height	flatZTolerance	layoutAdventure	objectAdventure	treasureRoomClass	template	descriptionDialog	inCompleteDialog	completeDialog	rewardDialog	acceptButtonText	objectiveMonster	objectiveUnitType	objectiveObject	objectiveCount	collectDropRate	collectItem	explorePercent	spawnCount	nameOverrideStringKey	nameInLogOverrideStringKey	logOverrideState	logOverrideString	subLevelTypeTruthOld	subLevelTypeTruthNew	questStateAdvanceToAtSubLevelTrut	monsterBoss	globalthemeRequired	
Tutorial	16705	0	10713	0	0	1	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	0	-1	-1	-1	1	1	31	0	0	0	0	-1	0	TutorialInit	TutorialFree	TutorialOnEnterGame	-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Broken	29249	0	10852	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	209	16	1	16	-1	-1	1	1	31	0	0	0	0	-1	0	BrokenInit	BrokenFree		-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1151	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
DoorFix	28993	0	10860	0	0	0	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	37	1	37	1	-1	1	3	33	2	10	0	0	3	300	DoorFixInit	DoorFixFree	DoorFixOnEnterGame	-1	-1		0	0	0	0	0		-1	-1	-1	316	317	318	-1	1148	-1	-1	-1	8	0.4	16	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Intro	27713	0	10871	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	-1	1	17	-1	-1	1	1	31	8	0	0	0	-1	0	IntroInit	IntroFree		11	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Hellyard	17217	0	10883	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	17	7	17	-1	-1	1	4	32	3	35	0	0	-1	0	HellyardInit	HellyardFree		14	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
TestMonkey	17473	0	10902	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	17	7	-1	-1	-1	1	6	34	0	0	0	0	-1	0	TestMonkeyInit	TestMonkeyFree		15	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Truth_A	17729	0	10917	0	0	1	0	0	0	0	1	1	-1	0	0	1	-1	-1	0	-1	0	-1	-1	14	17	-1	-1	1	7	35	10	0	0	0	-1	0	TruthAInit	TruthAFree		-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	2	3	51	-1	-1
Wisdom_Chaos	17985	0	10943	0	1	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	17	7	19	-1	-1	1	8	36	0	0	0	0	-1	0	WisdomChaosInit	WisdomChaosFree		19	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Books	18241	0	10951	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	19	18	19	-1	-1	1	9	35	2	40	0	0	-1	0	BooksInit	BooksFree		22	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Stitch_A	19523	0	10967	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	19	18	20	-1	-1	1	10	36	0	0	0	0	-1	0	StitchAInit	StitchAFree	StitchAOnEnterGame	-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	8	0.6	30	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Stitch_B	19779	0	10983	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	20	23	-1	-1	-1	1	10	36	0	0	0	0	-1	0	StitchBInit	StitchBFree	StitchBOnEnterGame	69	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	8	0.6	31	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Stitch_C	20035	0	10995	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	20	23	-1	-1	-1	1	10	36	0	0	0	0	-1	0	StitchCInit	StitchCFree		68	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Chocolate	18753	0	11009	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	20	23	-1	-1	-1	1	11	37	4	30	0	0	-1	0	ChocolateInit	ChocolateFree		24	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
HoldFast	19009	0	11037	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	19	18	-1	-1	-1	1	11	37	0	0	0	0	-1	0	HoldFastInit	HoldFastFree		25	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	8	-1	-1	-1	-1	0	0	-1	-1	-1
Redout	19265	0	11062	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	20	18	-1	-1	-1	1	12	38	6	20	0	0	-1	0	RedoutInit	RedoutFree		26	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Mind314	19521	0	11079	0	0	1	0	0	0	0	2	1	-1	0	0	1	-1	-1	0	-1	0	-1	20	18	-1	-1	-1	1	12	38	0	0	0	0	-1	0	Mind314Init	Mind314Free		-1	-1	Mind314Version	0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	4	-1	-1	-1	-1	4	5	130	-1	-1
ToTemple	25153	0	11109	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	19	18	22	-1	-1	1	15	41	0	0	0	0	-1	0	ToTempleInit	ToTempleFree		27	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
