"RECIPES"	"RECIPES"	"String"	"code"	"cubeRecipe"	"alwaysKnown"	"dontRequireExactIngredients"	"allowInRandomSingleUse"	"removeOnLoad"	"weight"	"experienceEarned"	"goldReward"	"resultQualityModifiesIngredientQuantity"	"ingredient1ItemClass"	"ingredient1UnitType"	"ingredient1ItemQuality"	"ingredient1MinQuantity"	"ingredient1MaxQuantity"	"ingredient2ItemClass"	"ingredient2UnitType"	"ingredient2ItemQuality"	"ingredient2MinQuantity"	"ingredient2MaxQuantity"	"ingredient3ItemClass"	"ingredient3UnitType"	"ingredient3ItemQuality"	"ingredient3MinQuantity"	"ingredient3MaxQuantity"	"ingredient4ItemClass"	"ingredient4UnitType"	"ingredient4ItemQuality"	"ingredient4MinQuantity"	"ingredient4MaxQuantity"	"ingredient5ItemClass"	"ingredient5UnitType"	"ingredient5ItemQuality"	"ingredient5MinQuantity"	"ingredient5MaxQuantity"	"ingredient6ItemClass"	"ingredient6UnitType"	"ingredient6ItemQuality"	"ingredient6MinQuantity"	"ingredient6MaxQuantity"	"craftResult1"	"craftResult2"	"craftResult3"	"craftResult4"	"craftResult5"	"craftResult6"	"treasureResult1"	"treasureResult2"	"treasureResult3"	"treasureResult4"	"treasureResult5"	"treasureResult6"	"mustPlaceInInvSlot"	"bitmask"	"spawnLevelMin"	"spawnLevelMax"
"3,63,0,-1,0,-1"	"mod (removed)"	-1	21313	0	0	0	0	1	0	0	0	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fuel"	-1	16705	0	0	0	1	0	2	0	0	1	112	-1	2	3	7	115	-1	0	10	20	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	286	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"rocket"	-1	16961	0	0	0	1	0	2	0	0	1	112	-1	2	3	7	114	-1	0	10	20	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	287	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"battery"	-1	17217	0	0	0	1	0	2	0	0	1	112	-1	2	3	7	113	-1	0	10	20	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	288	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"ammo"	-1	17473	0	0	0	1	0	2	0	0	1	115	-1	0	10	20	115	-1	2	3	7	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	289	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"relic"	-1	17729	0	0	0	1	0	2	0	0	1	114	-1	0	10	20	114	-1	2	3	7	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	290	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"tech"	-1	17985	0	0	0	1	0	2	0	0	1	113	-1	0	10	20	113	-1	2	3	7	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	291	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"sword"	-1	18241	0	0	0	1	0	1	0	0	1	112	-1	0	30	80	112	-1	2	3	8	114	-1	0	15	40	114	-1	2	3	8	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	292	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"1hgun"	-1	18497	0	0	0	1	0	1	0	0	1	112	-1	0	30	80	112	-1	2	3	8	113	-1	0	15	40	113	-1	2	3	8	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	293	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"2hgun"	-1	18753	0	0	0	1	0	1	0	0	1	112	-1	0	30	80	112	-1	2	3	8	115	-1	0	15	40	115	-1	2	3	8	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	294	-1	-1	-1	-1	-1	71	0	-1	-1
