"SKILLS"	"skill"	"code"	"buffer"	"bitmask1"	"bitmask2"	"bitmask3"	"bitmask4"	"bitmask5"	"bitmask6"	"displayName"	"descriptionStringFunction"	"effectStringFunction"	"skillBonusFunction"	"accumulationStringFunction"	"unknown101"	"unknown102"	"unknown103"	"unknown104"	"unknown105"	"descriptionString"	"effectString"	"skillBonusString"	"accumulationString"	"stringAfterRequiredWeapon"	"skillsToAccumulate1"	"skillsToAccumulate2"	"skillsToAccumulate3"	"events"	"activator"	"largeIcon"	"smallIcon"	"iconColor"	"iconBackgroundColor"	"skillTab"	"skillGroup1"	"skillGroup2"	"skillGroup3"	"skillGroup4"	"skillPageColumn"	"skillPageRow"	"level1"	"level2"	"level3"	"level4"	"level5"	"level6"	"level7"	"level8"	"level9"	"level10"	"level11"	"level12"	"level13"	"level14"	"level15"	"maxLevel"	"summonedAi"	"unknown201"	"summonedInvLocation1"	"summonedInvLocation2"	"summonedInvLocation3"	"summonedInvLocation4"	"summonedInvLocation5"	"summonedInvLocation6"	"maxSummonedMinorPetClasses"	"uiThrobsOnState"	"powerCost"	"powerCostPerLevel"	"priority"	"requiredStats1"	"requiredStats2"	"requiredStatValuesA1"	"requiredStatValuesA2"	"requiredStatValuesA3"	"requiredStatValuesA4"	"requiredStatValuesA5"	"requiredStatValuesA6"	"requiredStatValuesA7"	"requiredStatValuesA8"	"requiredStatValuesA9"	"requiredStatValuesA10"	"requiredStatValuesA11"	"requiredStatValuesA12"	"requiredStatValuesA13"	"requiredStatValuesA14"	"requiredStatValuesA15"	"requiredStatValuesB1"	"requiredStatValuesB2"	"requiredStatValuesB3"	"requiredStatValuesB4"	"requiredStatValuesB5"	"requiredStatValuesB6"	"requiredStatValuesB7"	"requiredStatValuesB8"	"requiredStatValuesB9"	"requiredStatValuesB10"	"requiredStatValuesB11"	"requiredStatValuesB12"	"requiredStatValuesB13"	"requiredStatValuesB14"	"requiredStatValuesB15"	"requiredSkills1"	"requiredSkills2"	"requiredSkills3"	"requiredSkills4"	"levelsOfRequiredSkills1"	"levelsOfRequiredSkills2"	"levelsOfRequiredSkills3"	"levelsOfRequiredSkills4"	"bOnlyRequireOne"	"bUsesCraftingPoints"	"weaponLocation1"	"weaponLocation2"	"fallBackSkills1"	"fallBackSkills2"	"fallBackSkills3"	"targetUnittype"	"ignoreUnitType"	"ignoreTargetsWithState1"	"ignoreTargetsWithState2"	"selectTargetsWithState1"	"selectTargetsWithState2"	"unknown301"	"modeOverride"	"bonusSkills0"	"bonusSkills1"	"bonusSkills2"	"bonusSkills3"	"bonusSkills4"	"bonusSkillScript0"	"bonusSkillScript1"	"bonusSkillScript2"	"bonusSkillScript3"	"bonusSkillScript4"	"skillVar0"	"skillVar1"	"skillVar2"	"skillVar3"	"skillVar4"	"skillVar5"	"skillVar6"	"skillVar7"	"skillVar8"	"skillVar9"	"rangeMultScript"	"cost"	"coolDownPercentChange"	"statsTransferOnAttack"	"statsSkillEvent"	"statsSkillEventServer"	"statsSkillEventServerPostProcess"	"statsServerPostLaunch"	"statsServerPostLaunchPost"	"statsPostLaunch"	"statsOnStateSet"	"statsServerOnStateSet"	"statsServerOnStateSetPost"	"statsOnStateSetPost"	"statsOnPulseServerOnly"	"statsOnDeSelectServerOnly"	"statsOnPulse"	"statsOnLevelChange"	"statsOnSkillStart"	"statsScriptOnTarget"	"scriptFromScriptEvents"	"selectCost"	"startCondition"	"startConditionOntarget"	"stateDurationInTicks"	"stateDurationBonus"	"activatorCondition"	"activatorConditionOnTarget"	"eventChance"	"eventParam0"	"eventParam1"	"eventParam2"	"eventParam3"	"infoScript"	"stateRemovedServer"	"powerCostScript"	"coolDownSkillScript"	"skillOnpulse"	"selectCheckStat"	"startFunc"	"targetFunc"	"givesSkill"	"extraSkillToTurnOn"	"playerInputOverride"	"requiresUnitType"	"requiresWeaponUnitType"	"fuseMissilesOnStateClear"	"requiresState"	"prohibitingState0"	"prohibitingState1"	"prohibitingState2"	"prohibitingState3"	"stateOnSelect"	"clearStateOnSelect"	"holdTicks"	"holdWithMode"	"warmUpTicks"	"testTicks"	"coolDown"	"coolDownSkillGroup"	"coolDownForGroup"	"coolDownFinishedSound"	"coolDownMinPercent"	"activatorKey"	"activateMode"	"activateSkill"	"activatePriority"	"rangeMin"	"rangeMax"	"firingCone"	"rangeDesired"	"rangePercentPerLevel"	"weaponRangeMultiplier"	"impactForwardBias"	"modeSpeed"	"damageTypeOverride"	"damageMultiplier"	"maxExtraSpreadBullets"	"spreadBulletMultiplier"	"reflectiveLifeTimeInSeconds"	"Param1"	"Param2"	"usage"	"family"	"unitEventTrigger0"	"unitEventTrigger1"	"unitEventTrigger2"	"unitEventTrigger3"	"unitEventTriggerChanceScript"	"linkedLevelSkill0"	"linkedLevelSkill1"	"linkedLevelSkill2"	"skillParent"	"fieldMissile"
"3,62,0,-1,0,-1"	"Use_Left_Weapon"	16961	0	361084	134218756	24768	768	0	0	13434	"Simple"	"Simple"			-1	-1	-1	-1	0	13435	-1	-1	-1	-1	-1	-1	-1			"skill_gen_fireleft"	"skill_gen_fireleft"	2	61	0	-1	-1	-1	-1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	8	-1	1	324	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	6	-1	-1	-1	292	-1	-1	-1	-1	-1	0	-1	0	120	0	-1	0	-1	50	-1	-1	-1	0	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"Use_Right_Weapon"	16705	0	361084	134218756	24768	768	0	0	13436	"Simple"	"Simple"			-1	-1	-1	-1	0	13437	-1	-1	-1	-1	-1	-1	-1			"skill_gen_fireright"	"skill_gen_fireright"	2	61	0	-1	-1	-1	-1	2	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	7	-1	0	324	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	6	-1	-1	-1	292	-1	-1	-1	-1	-1	0	-1	0	120	0	-1	0	-1	50	-1	-1	-1	0	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"Use_Both_Weapons"	17217	0	361084	134480900	24768	768	0	0	13432	"Simple"	"Simple"			-1	-1	-1	-1	0	13433	-1	-1	-1	-1	-1	-1	-1			"skill_gen_dualfire"	"skill_gen_dualfire"	2	61	0	-1	-1	-1	-1	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	7	8	324	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	6	-1	-1	-1	292	-1	-1	-1	-1	-1	0	-1	0	120	0	-1	0	-1	50	-1	-1	-1	0	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"Recall"	18244	0	0	1074790400	134258889	8519936	0	0	13426	"Simple"	"Simple"			-1	-1	-1	-1	0	13427	-1	-1	-1	-1	-1	-1	-1	"Recall"		"skill_gen_recall"	"skill_gen_recall"	2	61	0	-1	-1	-1	-1	3	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"711,3,229,26,1,470,0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	1	0	-1	-1	0	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	-1	0	-1	50	-1	-1	-1	0	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"Stuck"	21089	0	0	1074266112	167829513	68157456	1024	64	-1					-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	"Stuck"				-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	1	0	-1	-1	0	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	40	800	-1	0	-1	50	-1	-1	-1	0	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"Swiftness_Boost"	17220	0	0	0	43744	8421393	16392	0	13429	"Simple"	"Stats 1"			-1	-1	-1	-1	0	13430	13431	-1	-1	-1	-1	-1	-1	"SwiftnessBoost"	"Mode"	"skill_tmp_div_boost_swiftnessboost"	"skill_tmp_div_boost_swiftnessboost"	2	62	0	-1	-1	-1	-1	4	0	1	2	3	5	8	12	17	-1	-1	-1	-1	-1	-1	-1	-1	7		-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-2	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"26,55,26,15,700,6,358,388,669,599785472,0"	0	0	0	0	0	0	0	0	0	0	0	0	"26,60,0"	"666,868220928,0"	0	0	0	0	0	0	0	0	0	0	0	-1	-1	2	0	-1	-1	0	6	-1	-1	-1	202	467	-1	-1	-1	-1	0	-1	0	0	100	-1	0	-1	50	0	11	-1	25	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"Operate_And_Create"	12385	0	0	3145728	1	68157456	0	0	-1					-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1					-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	40	0	-1	0	-1	50	-1	-1	-1	0	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"Paperdoll_Blademaster"	12641	0	4	1074790400	134242329	256	0	0	-1					-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	"templar/PaperdollBlademaster"				-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	7	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	1	0	-1	-1	0	248	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	40	0	-1	0	-1	50	-1	-1	-1	0	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"Critical_Buildup"	25932	0	1074102460	134218852	60128	262912	712	0	13180	"DurationOnly"	"Stats 1P"			-1	-1	-1	-1	0	13181	13182	-1	-1	-1	-1	-1	-1	"templar/BuildupCritical"		"Critical Buildup"	"Critical Buildup"	2	62	1	4	6	3	-1	0	2	10	11	12	14	17	20	24	29	35	42	-1	-1	-1	-1	-1	10		-1	-1	-1	-1	-1	-1	-1	-1	-1	9	0	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	2	-1	-1	-1	0	0	7	8	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"700,7,26,1,388,26,3,700,6,388,358,26,5,358,26,9,369,669,314572800,0"	0	0	0	0	0	0	0	0	0	0	0	0	"26,240,0"	"666,868220928,26,15,711,26,12,3,44,358,388,0"	0	0	0	0	0	0	0	0	0	0	0	-1	-1	2	0	-1	-1	0	248	44	-1	-1	23	-1	-1	-1	-1	-1	0	-1	0	90	0	41	0	-1	50	-1	-1	-1	0	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"Regeneration_Buildup"	26188	0	1074102460	134218852	60128	262912	712	0	13187	"DurationOnly"	"Stats 1P"			-1	-1	-1	-1	0	13188	13189	-1	-1	-1	-1	-1	-1	"templar/BuildupRegeneration"		"Regeneration Buildup"	"Regeneration Buildup"	2	62	1	4	6	3	-1	0	0	1	2	3	4	6	9	13	18	24	31	-1	-1	-1	-1	-1	10		-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	7	8	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"707,0,714,666,29360128,26,5,700,6,388,358,700,7,26,1,388,358,26,8,369,683,41943040,0"	0	0	0	0	0	0	0	0	0	0	0	0	"26,240,0"	"666,868220928,26,15,711,26,12,3,44,358,388,0"	0	0	0	0	0	0	0	0	0	0	0	-1	-1	2	0	-1	-1	0	248	44	-1	-1	23	-1	-1	-1	-1	-1	0	-1	0	90	0	41	0	-1	50	-1	-1	-1	0	0	0	180	0	0	1	0	1	-1	-1	-1	1	0	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
