"WARDROBE_BODY"	"name"	"layers1"	"layers2"	"layers3"	"layers4"	"Base"	"head"	"hair"	"facialHair"	"skin"	"hairColorTexture"	"skinColor"	"hairColor"	"randomize"	"randomLayerSets1"	"randomLayerSets2"	"randomLayerSets3"
"3,63,0,-1,0,-1"	"Templar Guard"	597	-1	-1	-1	16	17	32	-1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Town Guard"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	12	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Commander"	823	597	616	-1	16	23	32	49	-1	-1	13	6	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Shiva"	829	597	-1	-1	63	68	76	-1	-1	-1	10	17	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Grayle"	837	-1	-1	-1	16	24	-1	-1	-1	-1	20	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"LostTemplar"	823	597	-1	-1	63	67	76	-1	-1	-1	16	10	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard1"	661	-1	-1	-1	16	23	-1	-1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard2"	663	-1	-1	-1	16	23	-1	-1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Uber Guard"	669	-1	-1	-1	16	23	-1	-1	-1	-1	17	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"TaskNPC1"	675	597	-1	-1	63	65	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"TaskNPC2"	682	597	646	645	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"TaskNPC3"	689	598	-1	-1	63	72	77	-1	-1	-1	13	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"TaskNPC4"	695	-1	-1	-1	16	-1	-1	-1	-1	-1	12	12	1	-1	-1	-1
"3,63,0,-1,0,-1"	"TaskNPC5"	701	-1	-1	-1	16	-1	-1	-1	-1	-1	12	12	1	-1	-1	-1
"3,63,0,-1,0,-1"	"TaskNPC6"	708	-1	-1	-1	16	-1	-1	-1	-1	-1	12	12	1	-1	-1	-1
"3,63,0,-1,0,-1"	"QuestNPC Templar"	715	598	-1	-1	16	26	33	-1	-1	-1	20	21	0	-1	-1	-1
"3,63,0,-1,0,-1"	"QuestNPC Hunter"	720	-1	-1	-1	16	-1	-1	-1	-1	-1	15	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"QuestNPC Cabalist"	728	597	-1	-1	16	17	32	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Old Wounded Templar"	615	736	-1	-1	16	17	32	1	-1	-1	5	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Wounded Templar"	736	-1	-1	-1	16	17	32	1	-1	-1	5	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"DarkWounded"	736	-1	-1	-1	16	20	33	1	-1	-1	17	21	0	-1	-1	-1
"3,63,0,-1,0,-1"	"TimeDeviceCabalist"	682	597	646	645	63	70	76	-1	-1	-1	13	23	0	-1	-1	-1
"3,63,0,-1,0,-1"	"TimeDeviceTemplar"	742	597	-1	-1	63	68	76	1	-1	-1	15	17	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Shin"	807	-1	-1	-1	16	18	-1	1	-1	-1	13	23	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Kathryn"	816	597	-1	-1	63	67	76	1	-1	-1	17	25	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Sage_Pristine"	657	604	-1	-1	63	73	83	1	-1	-1	3	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Sage_Eroded"	658	604	-1	-1	63	73	83	1	-1	-1	3	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Father_Pristine"	657	606	-1	-1	16	21	41	1	-1	-1	3	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Father_Eroded"	658	606	-1	-1	16	21	41	1	-1	-1	3	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Truth_Child_Pristine"	659	610	-1	-1	63	75	88	1	-1	-1	3	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Truth_Child_Eroded"	660	610	-1	-1	63	75	88	1	-1	-1	3	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Consul"	-1	-1	-1	-1	16	31	-1	1	-1	-1	3	11	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Hold_Fast_Templar_1"	-1	-1	-1	-1	63	-1	-1	1	-1	-1	0	0	1	8	-1	-1
"3,63,0,-1,0,-1"	"Hold_Fast_Templar_2"	-1	-1	-1	-1	63	-1	-1	1	-1	-1	0	0	1	8	-1	-1
"3,63,0,-1,0,-1"	"Hold_Fast_Templar_3"	-1	-1	-1	-1	16	-1	-1	1	-1	-1	0	0	1	8	-1	-1
"3,63,0,-1,0,-1"	"Hold_Fast_Hunter_1"	-1	-1	-1	-1	16	-1	-1	1	-1	-1	0	0	1	9	-1	-1
"3,63,0,-1,0,-1"	"Hold_Fast_Hunter_2"	-1	-1	-1	-1	16	-1	-1	1	-1	-1	0	0	1	9	-1	-1
"3,63,0,-1,0,-1"	"Hold_Fast_Hunter_3"	747	-1	-1	-1	63	65	77	-1	-1	-1	23	5	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Hold_Fast_Cabalist_1"	-1	-1	-1	-1	63	-1	-1	1	-1	-1	0	0	1	10	-1	-1
