name	code	undefined1	rowCollection	order	debug	randomAppearanceGroups1	randomAppearanceGroups2	randomAppearanceGroups3	randomAppearanceGroups4	randomAppearanceGroups5	randomAppearanceGroups6	randomAppearanceGroups7	randomAppearanceGroups8	randomAppearanceGroups9	randomAppearanceGroups10	layerSet1	layerSet2	layerSet3	layerSet4	layerSet5	modelGroup	textureSetGroup	blendOp	blendOpTemplar	blendOpCabalist	blendOpHunter	blendOpAdventurer	offHandlayer	undefined2	attachType	attachName	undefined5	attachBone	hasBoneIndex	boneIndex	state
player_base_3p	16688	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	13	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	67	54	-1	46	46	46	-1	-1	0	0		-1		0	0	-1
player_base_fp	16944	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	-1	2	2	2	-1	-1	0	0		-1		0	0	-1
	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	-1	3	3	3	-1	-1	0	0		-1		0	0	-1
no_skin	16961	0	1	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	13	-1	8	8	8	-1	-1	0	0		-1		0	0	-1
	0	0	1	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	13	-1	7	7	7	-1	-1	0	0		-1		0	0	-1
	0	0	1	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	13	-1	6	6	6	-1	-1	0	0		-1		0	0	-1
	0	0	1	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	67	54	-1	42	42	42	-1	-1	0	0		-1		0	0	-1
dye_kit	26437	0	4	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	72	61	-1	68	68	68	-1	-1	0	0		-1		0	0	-1
arcane1_normal_suit	18498	0	12	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	12	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	34	36	-1	50	51	46	-1	-1	0	0		-1		0	0	-1
arcane4_normal_suit	18754	0	13	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	17	19	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	13	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	35	37	-1	43	64	46	-1	-1	0	0		-1		0	0	-1
mystic1_normal_suit	25906	0	10	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	10	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	36	38	-1	47	50	46	-1	-1	0	0		-1		0	0	-1
mystic4_normal_suit	26674	0	11	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	30	30	30	-1	-1	0	0		-1		0	0	-1
	0	0	11	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
	0	0	11	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	39	40	39	-1	-1	0	0		-1		0	0	-1
	0	0	11	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	21	21	21	-1	-1	0	0		-1		0	0	-1
	0	0	11	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	18	18	18	-1	-1	0	0		-1		0	0	-1
	0	0	11	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	15	15	15	-1	-1	0	0		-1		0	0	-1
	0	0	11	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	37	37	37	-1	-1	0	0		-1		0	0	-1
	0	0	11	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	37	39	-1	47	46	46	-1	-1	0	0		-1		0	0	-1
power1_normal_suit	17456	0	5	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20	22	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	5	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	38	40	-1	43	53	46	-1	-1	0	0		-1		0	0	-1
power4_normal_suit	17712	0	6	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	21	23	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	6	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	39	41	-1	43	52	46	-1	-1	0	0		-1		0	0	-1
