"WARDROBE_TEXTURESET"	"texture_set"	"appearanceGroupFolder"	"appearanceGroup1"	"appearanceGroup2"	"folder"	"diffuse"	"normal"	"specular"	"lightMap"	"colorMask"	"undefined1"	"undefinedBool1"	"undefinedBool2"	"undefinedBool3"	"undefinedBool4"	"undefinedBool5"	"undefinedInt1"	"undefinedInt2"	"undefinedInt3"	"undefinedInt4"	"undefinedInt5"	"undefinedInt6"	"undefinedInt7"	"undefinedInt8"	"undefinedInt9"	"undefinedInt10"	"sizeDiffuseW"	"sizeDiffuseH"	"sizeNormalW"	"sizeNormalH"	"sizeSpecularW"	"sizeSpecularH"	"sizeLightMapW"	"sizeLightMapH"	"sizeColorMaskW"	"sizeColorMaskH"	"undefined2"	"undefined2a"
"3,62,0,-1,0,-1"	1	2	2	-1		"male_bare_arms_diffuse"	"male_bare_arms_normal"	"male_bare_arms_specular"	"male_bare_arms_glow"	"male_bare_arms_colormask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	1	3	3	-1		"female_bare_arms_diffuse"	"female_bare_arms_normal"	"female_bare_arms_specular"	"female_bare_arms_glow"	"female_bare_arms_colormask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,62,0,-1,0,-1"	7	4	4	-1	"powered_light"	"tm_powered_light_diffuse"	"tm_powered_light_normal"	"tm_powered_light_specular"			0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	8	4	4	-1	"powered_heavy"	"tm_powered_heavy_diffuse"	"tm_powered_heavy_normal"	"tm_powered_heavy_specular"	"tm_powered_heavy_Glow"	"TM_Power_Heavy_Color_Mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	9	4	4	-1	"tech_light"	"tm_fp_tech_light_diffuse"	"tm_fp_tech_light_normal"	"tm_fp_tech_light_specular"		"tm_fp_tech_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	10	4	4	-1	"tech_heavy"	"tm_tech_heavy_diffuse"	"tm_tech_heavy_normal"	"tm_tech_heavy_specular"		"tm_tech_heavy_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	3	4	4	-1	"arcane_light"	"tm_fp_arcane_light_diffuse"	"tm_fp_arcane_light_normal"	"tm_fp_arcane_light_specular"		"tm_fp_arcane_light_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	4	4	4	-1	"arcane_heavy"	"tm_fp_arcane_heavy_diffuse"	"tm_fp_arcane_heavy_normal"	"tm_fp_arcane_heavy_specular"		"tm_fp_arcane_heavy_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,62,0,-1,0,-1"	7	7	7	-1	"power_light"	"tf_power_light_diffuse"	"tf_power_light_normal"	"tf_power_light_specular"			0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	8	7	7	-1	"power_heavy"	"tf_power_heavy_diffuse"	"tf_power_heavy_normal"	"tf_power_heavy_specular"			0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	9	7	7	-1	"tech_light"	"tf_tech_light_diffuse"	"tf_tech_light_normal"	"tf_tech_light_specular"			0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	10	7	7	-1	"tech_heavy"	"tf_tech_heavy_diffuse"	"tf_tech_heavy_normal"	"tf_tech_heavy_specular"	"tf_tech_heavy_glow"		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	3	7	7	-1	"power_light"	"tf_power_light_diffuse"	"tf_power_light_normal"	"tf_power_light_specular"			0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	4	7	7	-1	"power_heavy"	"tf_power_heavy_diffuse"	"tf_power_heavy_normal"	"tf_power_heavy_specular"			0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	12	5	5	-1	"focus_a"	"FocusItem_A_diffuse"	"FocusItem_A_normal"	"FocusItem_A_specular"	"FocusItem_A_glow"		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	2	5	5	-1	"apprentice"	"cm_apprentice_diffuse"	"cm_apprentice_normal"	"cm_apprentice_specular"	"cm_apprentice_glow"	"cm_apprentice_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	3	5	5	-1	"arcane_light"	"cm_arcane_light_diffuse"	"cm_arcane_light_normal"	"cm_arcane_light_specular"		"cm_arcane_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
