"STATES"	"STATES"	"code"	"file"	"isA0"	"isA1"	"isA2"	"isA3"	"isA4"	"isA5"	"isA6"	"isA7"	"isA8"	"isA9"	"statePreventedBy"	"duration"	"onDeath"	"skillScriptParam"	"element"	"pulseRateInMs"	"pulseRateInMsClient"	"pulseSkill"	"iconOrder"	"uiIcon"	"uiIconTexture"	"unknown32"	"unknown34"	"iconBackColor"	"iconTooltipStringHellgate"	"iconTooltipStringMythos"	"iconTooltipStringAll"	"assocState1"	"assocState2"	"assocState3"	"bitmask01"	"gameFlag"	"bitmask02"
"3,63,0,-1,0,-1"		12336		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49152
"3,63,0,-1,0,-1"	"remove_on_death"	12592		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"remove_on_dying"	12848		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"remove_after_dead"	13104		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"dont_run_ai"	13360		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"uses_holy_radius"	13616		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16386
"3,63,0,-1,0,-1"	"monitors_stat"	13872		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49152
"3,63,0,-1,0,-1"	"minion_chargeup"	14128		2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"1,63,0,-1,0,-1"	"minion_right_chargeup_1"	14384	"Minion_Right_1"	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16392
"1,63,0,-1,0,-1"	"minion_right_chargeup_2"	14640	"Minion_Right_2"	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16392
"1,63,0,-1,0,-1"	"minion_right_chargeup_3"	16688	"Minion_Right_3"	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16392
"1,63,0,-1,0,-1"	"minion_left_chargeup_1"	16944	"Minion_Left_1"	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16392
"1,63,0,-1,0,-1"	"minion_left_chargeup_2"	17200	"Minion_Left_2"	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16392
"1,63,0,-1,0,-1"	"minion_left_chargeup_3"	17456	"Minion_Left_3"	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16392
"1,63,0,-1,0,-1"	"zombie_right_arm"	17712	"Zombie Right Arm"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16392
"1,63,0,-1,0,-1"	"zombie_left_arm"	17968	"Zombie Left Arm"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16392
"1,63,0,-1,0,-1"	"zombie_head"	18224	"Zombie Head"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16392
"1,63,0,-1,0,-1"	"arc_lightning"	18480	"Arc_Lightning"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16440
"1,63,0,-1,0,-1"	"on_hive"	18736	"On Hive"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16440
"3,63,0,-1,0,-1"	"sfx_damage"	18992		1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49152
"3,63,0,-1,0,-1"	"sfx_physical"	19248	"sfx_physical"	2	4	19	318	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	312376
