"ACHIEVEMENTS"	"name"	"code"	"nameString"	"descripFormatString"	"detailsString"	"rewardTypeString"	"revealCondition"	"revealValue"	"revealParentAchievement"	"playerClass0"	"playerClass1"	"playerClass2"	"playerClass3"	"playerClass4"	"playerClass5"	"playerClass6"	"playerClass7"	"playerClass8"	"playerClass9"	"type"	"notActiveTillParentComplete"	"completeNumber"	"param1"	"monsterUnitType0"	"monsterUnitType1"	"monsterUnitType2"	"monsterUnitType3"	"monsterUnitType4"	"monsterUnitType5"	"monsterUnitType6"	"monsterUnitType7"	"monsterUnitType8"	"monsterUnitType9"	"questTaskComplete"	"randomQuests"	"monster"	"Object"	"item"	"quality"	"skill"	"level"	"stat"	"rewardAchievementPoints"	"rewardTreasureClass"	"rewardXP"	"rewardSkill"	"rewardScript"
"3,60,0,-1,0,-1"	"kill_zombies_1"	16705	1412	1413	1414	-1	1	250	-1	0	0	0	0	0	0	0	0	0	0	0	-1	1000	0	132	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	10	-1	1000	-1	0
"3,60,0,-1,0,-1"	"kill_zombies_2"	16961	1415	1413	1414	-1	1	2500	-1	0	0	0	0	0	0	0	0	0	0	0	-1	10000	0	132	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	50	-1	5000	-1	0
"3,60,0,-1,0,-1"	"cricket_sydonai"	17217	1416	1417	1418	-1	0	0	-1	63	0	0	0	0	0	0	0	0	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	476	-1	585	-1	-1	-1	-1	100	-1	10000	-1	0
"3,60,0,-1,0,-1"	"equip_items_1"	17473	1419	1420	1421	-1	2	0	-1	0	0	0	0	0	0	0	0	0	0	2	-1	8	0	16	17	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	3	-1	-1	-1	120	-1	12000	-1	0
"3,60,0,-1,0,-1"	"collect_money_1"	17729	1422	1423	1424	-1	1	10000	-1	0	0	0	0	0	0	0	0	0	0	5	-1	35000	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	145	20	-1	2000	-1	0
"3,60,0,-1,0,-1"	"complete_quests_1"	17985	1425	1426	1427	-1	2	0	-1	0	0	0	0	0	0	0	0	0	0	7	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	10	-1	1000	-1	0
"3,60,0,-1,0,-1"	"complete_story_quests_1"	18241	1428	1429	1430	-1	2	0	-1	0	0	0	0	0	0	0	0	0	0	7	-1	12	1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	15	-1	1500	-1	0
"3,60,0,-1,0,-1"	"weapon_kill_sniper"	18497	1431	1432	1433	-1	1	200	-1	64	0	0	0	0	0	0	0	0	0	1	-1	1000	0	7	-76	0	0	0	0	0	0	0	0	-1	0	-1	-1	393	-1	-1	-1	-1	15	-1	1500	-1	0
"3,60,0,-1,0,-1"	"weapon_kill_cricket"	18753	1434	1435	1436	-1	1	200	-1	63	0	0	0	0	0	0	0	0	0	1	-1	1000	0	7	-76	0	0	0	0	0	0	0	0	-1	0	-1	-1	585	-1	-1	-1	-1	15	-1	1500	-1	0
"3,60,0,-1,0,-1"	"weapon_kill_bugs"	19009	1437	1438	1439	-1	1	200	-1	65	0	0	0	0	0	0	0	0	0	1	-1	1000	0	7	-76	0	0	0	0	0	0	0	0	-1	0	-1	-1	877	-1	-1	-1	-1	15	-1	1500	-1	0
