"COLORSETS"	"name"	"code"	"canBeRandomPick"
"3,63,0,-1,0,-1"	"Grey-Gold-LBlue"	12336	0
"3,63,0,-1,0,-1"	"Burgundy-DGrey-LGreen"	12592	0
"3,63,0,-1,0,-1"	"Ivory-Gold-Purple"	12848	0
"3,63,0,-1,0,-1"	"DBlue-LBlue-Orange"	13104	0
"3,63,0,-1,0,-1"	"Copper-White-LBlue"	13360	0
"3,63,0,-1,0,-1"	"DesatPurp-DesatBurg-PaleBlue"	13616	0
"3,63,0,-1,0,-1"	"Red-Black-Orange"	13872	0
"3,63,0,-1,0,-1"	"Blue-Black-Blue"	14128	0
"3,63,0,-1,0,-1"	"RedBrown-Beige-LBlue"	14384	0
"3,63,0,-1,0,-1"	"White-Black-Blue"	14640	0
"3,63,0,-1,0,-1"	"Black-White-DOrange"	16688	0
"3,63,0,-1,0,-1"	"Black-Black-Purple"	16944	0
"3,63,0,-1,0,-1"	"DTurq-PaleGreen-PaleYellow"	17200	0
"3,63,0,-1,0,-1"	"yrth green "	17456	0
"3,63,0,-1,0,-1"	"White-Black-Red"	17712	0
"3,63,0,-1,0,-1"	"Blue-White-LBlue"	17968	0
"3,63,0,-1,0,-1"	"Purple-PaleGold-Ivory"	18224	0
"3,63,0,-1,0,-1"	"Pale Purples"	18480	0
"3,63,0,-1,0,-1"	"Red-White-Gold"	18736	0
"3,63,0,-1,0,-1"	"Black-Black-Red"	18992	0
"3,63,0,-1,0,-1"	"Desert Colors"	19248	0
"3,63,0,-1,0,-1"	"Green-Grey-Bright Green"	19504	0
"3,63,0,-1,0,-1"	"Hair"	19760	0
"3,63,0,-1,0,-1"	"Hair 2"	19249	0
"3,63,0,-1,0,-1"	"Hair 3"	19505	0
"3,63,0,-1,0,-1"	"Hair 4"	19761	0
"3,63,0,-1,0,-1"	"Skin"	20016	0
"3,63,0,-1,0,-1"	"Skin 2"	20017	0
"3,63,0,-1,0,-1"	"Skin 3"	20273	0
"3,63,0,-1,0,-1"	"Skin 4"	20529	0
"3,63,0,-1,0,-1"	"CommanderTest"	20528	0
"3,63,0,-1,0,-1"	"GrandMasterTest"	20784	0
"3,63,0,-1,0,-1"	"Black Knight"	21040	0
"3,63,0,-1,0,-1"	"Guard1Test"	21296	0
"3,63,0,-1,0,-1"	"Guard2Test"	21552	0
"3,63,0,-1,0,-1"	"Starter_1"	21808	1
"3,63,0,-1,0,-1"	"Starter_2"	22064	1
"3,63,0,-1,0,-1"	"Starter_3"	18994	1
"3,63,0,-1,0,-1"	"Starter_4"	22320	1
"3,63,0,-1,0,-1"	"Arcane_1"	26416	1
"3,63,0,-1,0,-1"	"Arcane_2"	26672	1
"3,63,0,-1,0,-1"	"Arcane_3"	19250	1
"3,63,0,-1,0,-1"	"Arcane_4"	23088	1
"3,63,0,-1,0,-1"	"Arcane_5"	24880	1
"3,63,0,-1,0,-1"	"Arcane_6"	25136	1
"3,63,0,-1,0,-1"	"Arcane_7"	25392	1
"3,63,0,-1,0,-1"	"Arcane_8"	25648	1
"3,63,0,-1,0,-1"	"Arcane_9"	25904	1
"3,63,0,-1,0,-1"	"Arcane_10"	26160	1
"3,63,0,-1,0,-1"	"Arcane_11"	18482	1
"3,63,0,-1,0,-1"	"Arcane_12"	18226	1
"3,63,0,-1,0,-1"	"Arcane_13"	17970	1
"3,63,0,-1,0,-1"	"Arcane_14"	17714	1
"3,63,0,-1,0,-1"	"Arcane_Evade_1"	26928	1
"3,63,0,-1,0,-1"	"Arcane_Evade_2"	27184	1
"3,63,0,-1,0,-1"	"Arcane_Evade_3"	27440	1
"3,63,0,-1,0,-1"	"Arcane_Evade_4"	27696	1
"3,63,0,-1,0,-1"	"Arcane_Evade_5"	17458	1
"3,63,0,-1,0,-1"	"Arcane_EfDx1"	17713	1
"3,63,0,-1,0,-1"	"Arcane_EfDx2"	17969	1
"3,63,0,-1,0,-1"	"Arcane_EfDx3"	17202	1
"3,63,0,-1,0,-1"	"Arcane_Uber"	21553	1
"3,63,0,-1,0,-1"	"Arcane_Uber_2"	16946	1
"3,63,0,-1,0,-1"	"Tech_1"	27952	1
"3,63,0,-1,0,-1"	"Tech_2"	28208	1
"3,63,0,-1,0,-1"	"Tech_3"	28464	1
"3,63,0,-1,0,-1"	"Tech_4"	28720	1
"3,63,0,-1,0,-1"	"Tech_5"	28976	1
"3,63,0,-1,0,-1"	"Tech_6"	29232	1
"3,63,0,-1,0,-1"	"Tech_7"	29488	1
"3,63,0,-1,0,-1"	"Tech_8"	29744	1
"3,63,0,-1,0,-1"	"Tech_9"	30000	1
"3,63,0,-1,0,-1"	"Tech_10"	30256	1
"3,63,0,-1,0,-1"	"Tech_11"	30512	1
"3,63,0,-1,0,-1"	"Tech_12"	30768	1
"3,63,0,-1,0,-1"	"Tech_13"	31024	1
"3,63,0,-1,0,-1"	"Tech_14"	31280	1
"3,63,0,-1,0,-1"	"Tech_EfxAdd_1"	16690	1
"3,63,0,-1,0,-1"	"Tech_EfxAdd_2"	14642	1
"3,63,0,-1,0,-1"	"Tech_EfxAdd_3"	14386	1
"3,63,0,-1,0,-1"	"Tech_EfxAdd_4"	14130	1
"3,63,0,-1,0,-1"	"Tech_EfxAdd_5"	13874	1
"3,63,0,-1,0,-1"	"Tech_Interrupt_1"	22321	1
"3,63,0,-1,0,-1"	"Tech_Interrupt_2"	22065	1
"3,63,0,-1,0,-1"	"Tech_Interrupt_3"	13618	1
"3,63,0,-1,0,-1"	"Tech_Uber"	21809	1
"3,63,0,-1,0,-1"	"Tech_Uber2"	13362	1
"3,63,0,-1,0,-1"	"Power_1"	12337	1
"3,63,0,-1,0,-1"	"Power_2"	12593	1
"3,63,0,-1,0,-1"	"Power_3"	12849	1
"3,63,0,-1,0,-1"	"Power_4"	13105	1
"3,63,0,-1,0,-1"	"Power_5"	13361	1
"3,63,0,-1,0,-1"	"Power_6"	13617	1
"3,63,0,-1,0,-1"	"Power_7"	13873	1
"3,63,0,-1,0,-1"	"Power_8"	14129	1
"3,63,0,-1,0,-1"	"Power_9"	14385	1
"3,63,0,-1,0,-1"	"Power_10"	14641	1
"3,63,0,-1,0,-1"	"Power_11"	13106	1
"3,63,0,-1,0,-1"	"Power_12"	12850	1
"3,63,0,-1,0,-1"	"Power_13"	12594	1
"3,63,0,-1,0,-1"	"Power_14"	12338	1
"3,63,0,-1,0,-1"	"Power_Regen_1"	16689	1
"3,63,0,-1,0,-1"	"Power_Regen_2"	16945	1
"3,63,0,-1,0,-1"	"Power_Regen_3"	17201	1
"3,63,0,-1,0,-1"	"Power_Regen_4"	17457	1
"3,63,0,-1,0,-1"	"Power_Regen_5"	31281	1
"3,63,0,-1,0,-1"	"Power_Deflect_1"	18225	1
"3,63,0,-1,0,-1"	"Power_Deflect_2"	18993	1
"3,63,0,-1,0,-1"	"Power_Deflect_3"	31025	1
"3,63,0,-1,0,-1"	"Power_Uber"	22577	1
"3,63,0,-1,0,-1"	"Power_Uber_2"	18738	1
"3,63,0,-1,0,-1"	"test2"	18737	0
"3,63,0,-1,0,-1"	"Mystic_1"	28465	1
"3,63,0,-1,0,-1"	"Mystic_2"	28209	1
"3,63,0,-1,0,-1"	"Mystic_3"	27953	1
"3,63,0,-1,0,-1"	"Mystic_4"	27697	1
"3,63,0,-1,0,-1"	"Mystic_5"	27441	1
"3,63,0,-1,0,-1"	"Mystic_6"	27185	1
"3,63,0,-1,0,-1"	"Mystic_7"	26929	1
"3,63,0,-1,0,-1"	"Mystic_8"	26673	1
"3,63,0,-1,0,-1"	"Mystic_9"	26417	1
"3,63,0,-1,0,-1"	"Mystic_10"	26161	1
"3,63,0,-1,0,-1"	"Mystic_11"	22578	1
"3,63,0,-1,0,-1"	"Mystic_12"	22834	1
"3,63,0,-1,0,-1"	"Mystic_13"	23090	1
"3,63,0,-1,0,-1"	"Mystic_14"	24882	1
"3,63,0,-1,0,-1"	"Mystic_Crit_1"	25905	1
"3,63,0,-1,0,-1"	"Mystic_Crit_2"	25649	1
"3,63,0,-1,0,-1"	"Mystic_Crit_3"	25393	1
"3,63,0,-1,0,-1"	"Mystic_Crit_4"	25137	1
"3,63,0,-1,0,-1"	"Mystic_Crit_5"	30769	1
"3,63,0,-1,0,-1"	"Mystic_Boost_1"	24881	1
"3,63,0,-1,0,-1"	"Mystic_Boost_2"	23089	1
"3,63,0,-1,0,-1"	"Mystic_Boost_3"	30513	1
"3,63,0,-1,0,-1"	"Mystic_Uber"	22833	1
"3,63,0,-1,0,-1"	"Mystic_Uber_2"	30257	1
"3,63,0,-1,0,-1"	"Dye_Kit_Lava"	28721	0
"3,63,0,-1,0,-1"	"Dye_Kit_Wasp"	28977	0
"3,63,0,-1,0,-1"	"Dye_Kit_Biohazard"	29233	0
"3,63,0,-1,0,-1"	"Dye_Kit_Nuke"	29489	0
"3,63,0,-1,0,-1"	"Dye_Kit_Shadows"	29745	0
"3,63,0,-1,0,-1"	"Dye_Kit_Royal"	30001	0
"3,63,0,-1,0,-1"	"Dye_Shadow_Tiger"	19506	0
"3,63,0,-1,0,-1"	"Dye_KungFu_Bunny"	19762	0
"3,63,0,-1,0,-1"	"Dye_Scorched"	20018	0
"3,63,0,-1,0,-1"	"Dye_Heroic"	20274	0
"3,63,0,-1,0,-1"	"Dye_Jade"	20530	0
"3,63,0,-1,0,-1"	"Dye_Twighlight"	20786	0
"3,63,0,-1,0,-1"	"Dye_Hero_of_War"	21042	0
"3,63,0,-1,0,-1"	"Dye_Royal_Master"	21298	0
"3,63,0,-1,0,-1"	"Dye_Legendary_Warrior"	21554	0
"3,63,0,-1,0,-1"	"Dye_The_Myth"	21810	0
"3,63,0,-1,0,-1"	"Dye_Shadow_of_Devil"	22066	0
"3,63,0,-1,0,-1"	"Dye_Wonder_of_Nature"	22322	0
"3,63,0,-1,0,-1"	"FSS"	25138	0
"3,63,0,-1,0,-1"	"Ping_0"	25394	0
"3,63,0,-1,0,-1"	"EA"	25650	0
"3,63,0,-1,0,-1"	"Team_Color_Red"	25906	0
