"ITEMQUALITY"	"code"	"displayName"	"displayNameWithItemFormat"	"showBaseDesc"	"randomlyNamed"	"baseDescFormatString"	"unknown01"	"nameColor"	"bkgdColor"	"doTransactionLogging"	"changeItemClassToMatchRequiredQualityOnly"	"always_identified"	"price_multiplier"	"recipe_quantity_multiplier"	"unknown02"	"minLevel"	"rarity"	"vendorRarity"	"luckRarity"	"lookGroup"	"state"	"flippySound"	"usable"	"scrapQuality"	"isSpecialScrapQuality"	"scrapQualityDefault"	"extraScrapChance"	"extraScrapItem"	"extraScrapQuality"	"dismantleResultSound"	"downgrade"	"upgrade"	"prefixName"	"prefixType"	"prefixCount"	"force"	"suffixName"	"suffixType"	"suffixCount"	"procChance"	"luckProbMod"	"affix1Chance"	"affix1Type1Weight"	"affix1Type2Weight"	"affix1Type3Weight"	"affix1Type4Weight"	"affix1Type5Weight"	"affix1Type6Weight"	"affix1Type1"	"affix1Type2"	"affix1Type3"	"affix1Type4"	"affix1Type5"	"affix1Type6"	"affix2Chance"	"affix2Type1Weight"	"affix2Type2Weight"	"affix2Type3Weight"	"affix2Type4Weight"	"affix2Type5Weight"	"affix2Type6Weight"	"affix2Type1"	"affix2Type2"	"affix2Type3"	"affix2Type4"	"affix2Type5"	"affix2Type6"	"affix3Chance"	"affix3Type1Weight"	"affix3Type2Weight"	"affix3Type3Weight"	"affix3Type4Weight"	"affix3Type5Weight"	"affix3Type6Weight"	"affix3Type1"	"affix3Type2"	"affix3Type3"	"affix3Type4"	"affix3Type5"	"affix3Type6"	"affix4Chance"	"affix4Type1Weight"	"affix4Type2Weight"	"affix4Type3Weight"	"affix4Type4Weight"	"affix4Type5Weight"	"affix4Type6Weight"	"affix4Type1"	"affix4Type2"	"affix4Type3"	"affix4Type4"	"affix4Type5"	"affix4Type6"	"affix5Chance"	"affix5Type1Weight"	"affix5Type2Weight"	"affix5Type3Weight"	"affix5Type4Weight"	"affix5Type5Weight"	"affix5Type6Weight"	"affix5Type1"	"affix5Type2"	"affix5Type3"	"affix5Type4"	"affix5Type5"	"affix5Type6"	"affix6Chance"	"affix6Type1Weight"	"affix6Type2Weight"	"affix6Type3Weight"	"affix6Type4Weight"	"affix6Type5Weight"	"affix6Type6Weight"	"affix6Type1"	"affix6Type2"	"affix6Type3"	"affix6Type4"	"affix6Type5"	"affix6Type6"	"badgeFrame"
"normal"	12336	-1	-1	0	0	-1	0	42	51	0	0	1	1	1	0	0	15600	240	-7800	-1	93	5311	1	0	0	0	1	116	3	5263	-1	1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	
"uncommon"	12592	483	484	0	0	-1	0	132	133	1	0	1	3	0	0	0	1250	64	0	-1	94	5315	1	2	0	0	3	116	3	-1	0	2	0	-1	0	0	0	-1	0	10	0	"26,100,0"	"26,100,0"	0	0	0	0	0	9	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_uncommon"
"rare"	18480	485	486	0	0	-1	0	44	53	1	0	1	5	0	0	0	250	16	0	-1	95	5314	1	2	1	0	8	116	3	-1	1	3	0	-1	0	0	0	-1	0	30	0	"26,100,0"	"26,100,0"	0	0	0	0	0	8	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	0	0	0	0	0	1	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	"26,5,0"	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_rare"
"legendary"	13104	489	490	0	0	-1	0	45	54	1	0	0	7	3	0	0	50	4	0	-1	97	5312	1	2	0	0	20	116	3	-1	2	-1	0	-1	0	0	0	-1	0	40	0	"26,100,0"	"26,100,0"	0	0	0	0	0	7	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	0	0	0	0	0	3	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	"26,10,0"	0	0	0	0	3	1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	"26,5,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	"26,50,0"	"26,5,0"	"26,1,0"	0	0	0	0	0	1	-1	-1	-1	-1	"26,25,0"	"26,10,0"	0	0	0	0	0	0	-1	-1	-1	-1	-1	"badge_legendary"
"mutant"	13360	491	492	0	0	-1	0	46	56	1	0	0	7	16	0	0	0	0	0	-1	98	5313	1	2	0	0	70	116	3	-1	3	-1	0	-1	0	0	0	-1	0	50	0	"26,100,0"	"26,100,0"	0	0	0	0	0	6	-1	-1	-1	-1	-1	"26,100,0"	"26,17,0"	"26,1,0"	"26,1,0"	"26,1,0"	0	0	4	1	3	0	-1	-1	"26,75,0"	"26,4,0"	"26,2,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	"26,66,0"	"26,4,0"	"26,2,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	"26,50,0"	"26,4,0"	"26,2,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	"26,25,0"	"26,4,0"	"26,2,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	"badge_mutant"
"unique"	13616	493	494	1	0	5023	0	48	57	1	1	0	10	24	0	0	10	0	0	-1	99	5313	1	2	0	0	100	116	3	-1	3	-1	0	-1	0	0	0	-1	0	60	0	"26,100,0"	"26,100,0"	0	0	0	0	0	7	-1	-1	-1	-1	-1	"26,0,0"	"26,10,0"	0	0	0	0	0	3	-1	-1	-1	-1	-1	"26,0,0"	"26,10,0"	"26,10,0"	0	0	0	0	3	1	-1	-1	-1	-1	"26,0,0"	"26,10,0"	"26,5,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	"26,0,0"	"26,5,0"	"26,1,0"	0	0	0	0	0	1	-1	-1	-1	-1	"26,0,0"	"26,10,0"	0	0	0	0	0	0	-1	-1	-1	-1	-1	"badge_unique"
"normal-m"	14384	497	-1	0	0	-1	0	42	51	0	0	1	0	1	0	0	3000	160	-1500	-1	94	5311	1	0	0	0	3	116	3	5263	-1	7	0	-1	0	0	0	-1	0	20	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_uncommon"
"rare-m"	18736	485	486	0	0	-1	0	44	53	1	0	0	5	0	0	0	250	16	0	-1	95	5315	1	2	0	0	8	116	3	-1	0	8	0	-1	0	0	0	-1	0	30	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	0	0	0	0	0	1	-1	-1	-1	-1	-1	"26,25,0"	"26,10,0"	"26,5,0"	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_rare"
"legendary-m"	16944	489	490	0	0	-1	0	45	54	1	0	0	7	3	0	0	50	0	0	-1	97	5312	1	2	0	0	20	116	3	-1	7	-1	0	-1	0	0	0	-1	0	40	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	0	0	0	0	0	3	-1	-1	-1	-1	-1	"26,50,0"	"26,27,0"	"26,3,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_legendary"
"mutant-m"	17200	491	492	0	0	-1	0	46	56	1	0	0	7	0	0	0	0	0	0	-1	98	5313	1	2	0	0	70	116	3	-1	8	-1	0	-1	0	0	0	-1	0	50	0	"26,100,0"	"26,100,0"	0	0	0	0	0	6	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	"26,5,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	"26,66,0"	"26,9,0"	"26,3,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	"26,33,0"	"26,9,0"	"26,3,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	"26,10,0"	"26,9,0"	"26,3,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_mutant"
