"LEVEL"	"name"	"code"	"bitfieldIndex"	"unknown1"	"defaultSubLevel"	"previousLevel"	"nextLevel"	"levelDisplayName"	"floorSuffixName"	"finalSuffixFloorName"	"town"	"alwaysActive"	"startingLocation"	"unknown2"	"levelRestartRedirect"	"portalAndRecallLoc"	"firstPortalandRecallLoc"	"safe"	"subLevelTownPortal"	"tutorial"	"disableTownPortals"	"onEnterClearBadStates"	"playerOwnedCannotDie"	"hardcoreDeadCanVisit"	"canFormAutoParties"	"CameraDollyScale"	"minZ"	"maxZ"	"visibilityOpacity"	"fixedOrientation"	"orientedToMap"	"allowRandomOrientation"	"hellriftChancePercent"	"hellriftSubLevel1"	"madLibs"	"properNames"	"adjectives"	"nouns"	"affixs"	"suffixs"	"subLevel1"	"subLevel2"	"subLevel3"	"subLevel4"	"subLevel5"	"subLevel6"	"subLevel7"	"subLevel8"	"autoWaypoint"	"multiplayerOnly"	"useTeamColors"	"waypoint"	"srvLevelType"	"playerMax"	"monsterLevel"	"monsterLevelNightmare"	"unknown3"	"monsterLevelFromParentLevel"	"monsterLevelFromActivator"	"monsterLevelActivatorDelta"	"selectRandomThemePct"	"partySizeRecommended"	"questSpawnClass"	"interactableSpawnClass"	"stringEnter"	"stringLeave"	"championSpawnChancePercentAtEachSpawnLocation"	"uniqueMonsterChancePercent"	"mapX"	"mapY"	"firstLevel"	"firstLevelCheating"	"playerExpLevel"	"startingGold"	"bonusStartingTreasure"	"sequenceNumber"	"blank"	"worldMapRow"	"worldMapCol"	"worldMapFrame"	"worldMapFrameUnexplored"	"worldMapColor"	"worldMapLabelPos"	"worldMapLabelXOffs"	"worldMapLabelYOffs"	"worldMapConnectIDs1"	"worldMapConnectIDs2"	"worldMapConnectIDs3"	"worldMapConnectIDs4"	"worldMapConnectIDs5"	"worldMapConnectIDs6"	"worldMapConnectIDs7"	"worldMapConnectIDs8"	"adventureChancePercent"	"numAdventures"	"enableRoomReset"	"roomResetDelayInSeconds"	"roomResetWhenMonstersBelowPercent"	"monsterRoomDensityMultiplier"	"contentsAlwaysRevealed"	"scriptPlayerEnterLevel"	"allowOverworldTravel"
"3,62,0,-1,0,-1"	"Russell Square"	22084	0	0	0	-1	1	8431	-1	-1	0	0	1	-1	0	0	0	0	-1	1	1	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,1,0"	"26,30,0"	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	1	0	-1	-1	1	0	0	10	13	"map_square"	"map_square_dotted"	6	7	0	-10	1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	0	-1	-1	1.15	0	0	0
"3,62,0,-1,0,-1"	"Holborn Station"	16705	1	0	1	-1	-1	8432	-1	-1	1	0	1	-1	0	1	1	1	-1	0	0	1	1	1	1	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	134	2	16	"26,3,0"	"26,31,0"	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	2	0	0	9	12	"map_hex"	"map_hex_dotted"	11	3	-8	0	2	3	6	-1	-1	-1	-1	-1	0	"26,0,0"	0	-1	-1	1.15	0	0	0
"3,62,0,-1,0,-1"	"Tottenham Court"	16961	2	0	0	1	-1	8434	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,1,0"	"26,30,0"	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	3	0	0	8	13	"map_square"	"map_square_dotted"	6	1	0	8	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	1.15	0	0	0
"3,62,0,-1,0,-1"	"Holborn Access Shafts"	17217	3	0	0	1	-1	8433	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,2,0"	"26,31,0"	0	0	0	0	50	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	4	0	0	8	11	"map_circle"	"map_circle_dotted"	38	1	0	8	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	0.95	0	0	0
"3,2,0,-1,0,-1"		0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	2147483647	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	-1	0	-1	-1	-1			-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1.15	0	0	0
"3,2,0,-1,0,-1"		0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	2147483647	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	-1	0	-1	-1	-1			-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	1.15	0	0	0
"3,60,0,-1,0,-1"	"Covent Garden Approach"	17473	6	0	0	1	7	8437	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,3,0"	"26,31,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.08	0	-1	-1	0	0	-1	-1	5	0	0	10	11	"map_circle"	"map_circle_dotted"	38	3	-8	0	7	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	0.95	0	0	0
"3,60,0,-1,0,-1"	"Covent Garden Station"	17729	7	0	1	-1	-1	8438	-1	-1	1	0	1	-1	0	1	0	1	-1	0	0	1	1	1	1	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	132	2	32	"26,5,0"	"26,33,0"	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	1	7	-1	6	500	0	10	9	"map_hex"	"map_hex_dotted"	11	1	0	8	12	8	13	11	10	15	-1	-1	0	"26,0,0"	0	-1	-1	1.15	0	0	0
"3,60,0,-1,0,-1"	"Upper Kingsway Sewers"	17985	8	0	0	7	9	8435	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,3,0"	"26,31,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.08	0	-1	-1	0	0	-1	-1	7	0	0	11	10	"map_circle"	"map_circle_dotted"	38	3	-8	0	9	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	1.05	0	0	0
"3,60,0,-1,0,-1"	"Lower Kingsway Sewers"	18241	9	0	0	8	-1	8436	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,4,0"	"26,32,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.08	0	-1	-1	0	0	-1	-1	8	0	0	12	11	"map_circle"	"map_circle_dotted"	38	3	-8	0	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	1.05	0	0	0
"3,60,0,-1,0,-1"	"Covent Garden Steam Tunnels"	18497	10	0	0	7	-1	8443	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,4,0"	"26,32,0"	0	0	0	0	50	0	-1	-1	-1	-1	0.08	0	-1	-1	0	0	-1	-1	9	0	0	9	10	"map_circle"	"map_circle_dotted"	38	1	0	8	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Covent Garden Train Depot"	18753	11	0	0	7	-1	8444	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,5,0"	"26,32,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.08	0	-1	-1	0	0	-1	-1	10	0	0	11	8	"map_circle"	"map_circle_dotted"	38	7	0	-10	-1	-1	-1	-1	-1	-1	-1	-1	100	"26,0,0"	1	1200	20	1.05	0	0	0
"3,60,0,-1,0,-1"	"Covent Garden Market"	19009	12	0	0	7	-1	8440	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	100	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,5,0"	"26,32,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.08	5	-1	-1	0	0	-1	-1	11	0	0	12	9	"map_square"	"map_square_dotted"	6	7	0	-10	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1800	20	1.05	0	0	0
"3,60,0,-1,0,-1"	"Bloomsbury"	19265	13	0	0	7	14	8441	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,6,0"	"26,33,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.08	5	-1	-1	0	0	-1	-1	12	0	0	9	8	"map_circle"	"map_circle_dotted"	38	5	8	0	14	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"British Museum"	19521	14	0	0	13	-1	8442	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	100	5	-1	-1	-1	-1	-1	-1	10	9	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,6,0"	"26,33,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.08	5	-1	-1	0	0	-1	-1	13	0	0	8	8	"map_square"	"map_square_dotted"	6	1	0	8	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1800	20	1.15	0	0	0
