LEVELS_FILE_PATH	code	path	localisedFolders0	localisedFolders1	localisedFolders2	localisedFolders3	localisedFolders4	localisedFolders5	localisedFolders6	localisedFolders7	language	pakFlie
"3,63,0,-1,0,-1"	825250899	Background\Station\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1498696003	Background\City\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	842028102	Background\FoetidTunnels2\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1430539849	Background\Industrial_Rooms\Textures\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414745673	Background\Industrial_Rooms\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	842023508	Background\TubeB\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1112822867	Background\StationTransB\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1112757332	Background\TunnelTransB\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	825251667	Background\Sewers\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	825247315	Background\SoundField\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	842024531	Background\Soundfield_Part_Deux\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1196838723	Background\City\CoventGarden\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1413961283	Background\City\CoventGarden\textures\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1397574722	Background\City\Bloomsbury\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414351938	Background\City\Bloomsbury\textures\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1128483152	Background\City\PiccadillyCircus\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1263681872	Background\City\Park\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1280332883	Background\City\StPauls\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1381256777	Background\City\Interiors\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1296847440	Background\City\ParliamentSquare\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414287952	Background\City\ParliamentSquare\textures\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	827935571	Background\Skyboxes\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414284616	Background\Hell_Tower\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1280066888	Background\Hell_Dungeon\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	825251410	Background\River\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1398036044	Background\Level_Transitions\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414742349	units\monsters\masterfiend\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1280657491	units\monsters\shulgoth\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1346454866	units\monsters\reaper\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	827019860	Background\TruthRoomKnowledge\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	827084628	Background\TowerOfLondon\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1163280707	Background\Caves\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1314344788	Background\TownPortal\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1498172481	Background\Alleys\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	825250371	Background\Crypts\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1163084098	Background\TemplarBase\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414742338	Background\TemplarBase\textures\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	825250883	Background\Catacombs\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	825250629	Background\ExospectorInt\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1431061328	Background\Props\StreetClutter\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1212503632	Background\Props\Vehicles\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1347568468	Background\Props\TemplarCorpses\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1145848400	Background\Props\BlastDoor_A\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1163282765	Background\Props\MilitaryVehicles\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
