ROOM_INDEX	name	outDoor	outDoorVisibility	computeAmbientOcclusion	noMonsterSpawn	noAdventures	noSubLevelEntrance	occupiesNodes	raisesNodes	fullCollision	dontObstructSound	dontOccludeVisibility	thirdPersonCameraIgnore	rtsCameraIgnore	havokSliceType	roomVersion	nodeBuffer	reverbEnvironment	backGroundSound	noGore	noHumans
"3,60,0,-1,0,-1"	Catacombs\Catacombs_Test	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CT_ConnA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CT_ConnB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CT_Next	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CT_NextDark	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CT_Prev	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTCombo_AC_RD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTComboNew_AC_RD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTCross_ACa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTHill_ACa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTHillNew_ACa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTHill_ADa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTHillNew_ADa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTHill_ADIa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTHillNew_ADIa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTTemp_N	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTTemp_Nb	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTTemp_Nc	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWall_ACa	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallNew_ACa	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallDark_ACa	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWall_ADa	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallNew_ADa	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallDark_ADa	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWall_Ta	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallNew_Ta	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWall_Xa	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallNew_Xa	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWall_Na	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallNew_Na	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallDark_Na	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWall_Nb	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallNew_Nb	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWallDark_Nb	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
"3,60,0,-1,0,-1"	Catacombs\CTWall_Nc	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HG_Crypts	3	-1	-1
