LEVELS_RULES	drlgFileName	undefined1	drlgRuleSet	label	minSubs	minSubsNightMare	maxSubs	maxSubsNightMare	attempts	replaceAll	replaceAndCheck	onceForReplacement	mustPlace	weighted	exitRule	deadEndRule	looping	loopLabel	askQuests	randomQuestPercent	questTaskComplete	theme_RunRule	theme_SkipRule
"3,63,0,-1,0,-1"	Rule_CharacterCreation	1	DRLG_CharacterCreation		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	DestroyedStation_rule1	0	DRLG_DestroyedStation		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_TB01	35	DRLG_TemplarBase		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_rc01	1	DRLG_RuinCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_tp01	32	DRLG_TownPortal		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_cg01	1	DRLG_CGMarket		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_cg02	1	DRLG_CGMarket		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_CGMarket		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_mc01	1	DRLG_MiniCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_mc01a	1	DRLG_MiniCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_mc02	1	DRLG_MiniCity		5	6	6	8	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_mc03	1	DRLG_MiniCity		1	1	1	1	0	0	0	0	1	0	1	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_MiniCity		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pm01	1	DRLG_PedMall		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
