LEVEL_THEMES	name	undefined1	undefined2	undefined3	undefined4	undefined5	undefined6	undefined7	undefined8	dontDisplayInEditor	highLander	environment	envPriority	allowedStyles0	allowedStyles1	allowedStyles2	allowedStyles3	allowedStyles4	allowedStyles5	allowedStyles6	allowedStyles7	allowedStyles8	allowedStyles9	allowedStyles10	allowedStyles11	allowedStyles12	allowedStyles13	allowedStyles14	allowedStyles15	globalThemeRequired
"3,63,0,-1,0,-1"		-1	-1	-1	-1	-1	-1	-1	-1	1	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Any	-1	-1	-1	-1	-1	-1	-1	-1	1	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Elemental	1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Fire	2	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Poison	2	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Electrical	2	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Spectral	2	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Physical	2	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Vehicle	1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Car	8	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Truck	8	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Bus	8	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	FireTruck	3	10	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Infestation	-1	-1	-1	-1	-1	-1	-1	-1	0	0	_infestation	100	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Rescue	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	TrainFix	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Test_of_Knowledge	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Test_of_Leadership	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Test_of_Beauty	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Test_of_Fellowship	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Tutorial	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Guy Fawkes Day	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	Ice	-1	-1	-1	-1	-1	-1	-1	-1	0	0	_Ice	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	ForestNormal	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	ForestPlague	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	ForestEvil	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Holiday07	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2
"3,63,0,-1,0,-1"	Stonehenge	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	TheWild	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Maintenance	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Abyss	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,63,0,-1,0,-1"	Cemetery	-1	-1	-1	-1	-1	-1	-1	-1	0	0		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
