"LEVELSCALING"	"level"	"PlayerAttackMonsterDmg"	"PlayerAttackMonsterExp"	"MonsterAttackPlayerDmg"	"PlayerAttackPlayerDmg"
"3,63,0,-1,0,-1"	-100	1	195	100	1
"3,63,0,-1,0,-1"	-99	1	195	100	1
"3,63,0,-1,0,-1"	-98	1	195	100	1
"3,63,0,-1,0,-1"	-97	1	195	100	1
"3,63,0,-1,0,-1"	-96	1	195	100	1
"3,63,0,-1,0,-1"	-95	1	195	100	1
"3,63,0,-1,0,-1"	-94	1	195	100	1
"3,63,0,-1,0,-1"	-93	1	195	100	1
"3,63,0,-1,0,-1"	-92	1	195	100	1
"3,63,0,-1,0,-1"	-91	1	195	100	1
"3,63,0,-1,0,-1"	-90	1	195	100	1
"3,63,0,-1,0,-1"	-89	1	195	100	1
"3,63,0,-1,0,-1"	-88	1	195	100	1
"3,63,0,-1,0,-1"	-87	1	195	100	1
"3,63,0,-1,0,-1"	-86	1	195	100	1
"3,63,0,-1,0,-1"	-85	1	195	100	1
"3,63,0,-1,0,-1"	-84	1	195	100	1
"3,63,0,-1,0,-1"	-83	1	195	100	1
"3,63,0,-1,0,-1"	-82	1	195	100	1
"3,63,0,-1,0,-1"	-81	1	195	100	1
"3,63,0,-1,0,-1"	-80	1	195	100	1
"3,63,0,-1,0,-1"	-79	1	195	100	1
"3,63,0,-1,0,-1"	-78	1	195	100	1
"3,63,0,-1,0,-1"	-77	1	195	100	1
"3,63,0,-1,0,-1"	-76	1	195	100	1
"3,63,0,-1,0,-1"	-75	1	195	100	1
"3,63,0,-1,0,-1"	-74	1	195	100	1
"3,63,0,-1,0,-1"	-73	1	195	100	1
"3,63,0,-1,0,-1"	-72	1	195	100	1
"3,63,0,-1,0,-1"	-71	1	195	100	1
"3,63,0,-1,0,-1"	-70	1	195	100	1
"3,63,0,-1,0,-1"	-69	1	195	100	1
"3,63,0,-1,0,-1"	-68	1	195	100	1
"3,63,0,-1,0,-1"	-67	1	195	100	1
"3,63,0,-1,0,-1"	-66	1	195	100	1
"3,63,0,-1,0,-1"	-65	1	195	100	1
"3,63,0,-1,0,-1"	-64	1	195	100	1
"3,63,0,-1,0,-1"	-63	1	195	100	1
"3,63,0,-1,0,-1"	-62	1	195	100	1
"3,63,0,-1,0,-1"	-61	1	195	100	1
"3,63,0,-1,0,-1"	-60	1	195	100	1
"3,63,0,-1,0,-1"	-59	1	195	100	1
"3,63,0,-1,0,-1"	-58	1	195	100	1
"3,63,0,-1,0,-1"	-57	1	195	100	1
"3,63,0,-1,0,-1"	-56	1	195	100	1
"3,63,0,-1,0,-1"	-55	1	195	100	1
"3,63,0,-1,0,-1"	-54	1	195	100	1
"3,63,0,-1,0,-1"	-53	1	195	100	1
"3,63,0,-1,0,-1"	-52	1	195	100	1
"3,63,0,-1,0,-1"	-51	1	195	100	1
"3,63,0,-1,0,-1"	-50	1	195	100	1
"3,63,0,-1,0,-1"	-49	1	195	100	1
"3,63,0,-1,0,-1"	-48	1	195	100	1
"3,63,0,-1,0,-1"	-47	1	195	100	1
"3,63,0,-1,0,-1"	-46	1	195	100	1
"3,63,0,-1,0,-1"	-45	1	195	100	1
"3,63,0,-1,0,-1"	-44	1	195	100	1
"3,63,0,-1,0,-1"	-43	1	195	100	1
"3,63,0,-1,0,-1"	-42	1	195	100	1
"3,63,0,-1,0,-1"	-41	1	195	100	1
"3,63,0,-1,0,-1"	-40	1	195	100	1
"3,63,0,-1,0,-1"	-39	1	195	100	1
"3,63,0,-1,0,-1"	-38	1	195	100	1
"3,63,0,-1,0,-1"	-37	1	195	100	1
"3,63,0,-1,0,-1"	-36	1	195	100	1
"3,63,0,-1,0,-1"	-35	1	195	100	1
"3,63,0,-1,0,-1"	-34	1	195	100	1
"3,63,0,-1,0,-1"	-33	1	195	100	1
"3,63,0,-1,0,-1"	-32	1	195	100	1
"3,63,0,-1,0,-1"	-31	1	195	100	1
"3,63,0,-1,0,-1"	-30	1	195	100	1
"3,63,0,-1,0,-1"	-29	1	195	100	1
"3,63,0,-1,0,-1"	-28	1	195	100	1
"3,63,0,-1,0,-1"	-27	1	195	100	1
"3,63,0,-1,0,-1"	-26	1	195	100	1
"3,63,0,-1,0,-1"	-25	1	195	100	1
"3,63,0,-1,0,-1"	-24	1	195	100	1
"3,63,0,-1,0,-1"	-23	1	195	100	1
"3,63,0,-1,0,-1"	-22	1	195	100	1
"3,63,0,-1,0,-1"	-21	1	195	100	1
"3,63,0,-1,0,-1"	-20	1	195	100	1
"3,63,0,-1,0,-1"	-19	1	195	100	1
"3,63,0,-1,0,-1"	-18	1	195	100	1
"3,63,0,-1,0,-1"	-17	1	195	100	1
"3,63,0,-1,0,-1"	-16	1	195	100	1
"3,63,0,-1,0,-1"	-15	1	195	100	5
"3,63,0,-1,0,-1"	-14	1	195	100	10
"3,63,0,-1,0,-1"	-13	1	195	100	20
"3,63,0,-1,0,-1"	-12	3	190	100	30
"3,63,0,-1,0,-1"	-11	7	180	100	40
"3,63,0,-1,0,-1"	-10	16	170	100	50
"3,63,0,-1,0,-1"	-9	25	160	100	60
"3,63,0,-1,0,-1"	-8	38	150	100	70
"3,63,0,-1,0,-1"	-7	54	140	100	80
"3,63,0,-1,0,-1"	-6	70	130	100	90
"3,63,0,-1,0,-1"	-5	83	120	100	100
"3,63,0,-1,0,-1"	-4	92	110	100	100
"3,63,0,-1,0,-1"	-3	97	105	100	100
"3,63,0,-1,0,-1"	-2	100	100	100	100
"3,63,0,-1,0,-1"	-1	100	100	100	100
"3,63,0,-1,0,-1"	0	100	100	100	100
"3,63,0,-1,0,-1"	1	100	90	100	100
"3,63,0,-1,0,-1"	2	100	78	100	100
"3,63,0,-1,0,-1"	3	100	65	104	100
"3,63,0,-1,0,-1"	4	100	50	108	100
"3,63,0,-1,0,-1"	5	100	37	116	100
"3,63,0,-1,0,-1"	6	100	24	128	100
"3,63,0,-1,0,-1"	7	100	14	145	100
"3,63,0,-1,0,-1"	8	100	8	166	100
"3,63,0,-1,0,-1"	9	100	4	191	100
"3,63,0,-1,0,-1"	10	100	2	220	100
"3,63,0,-1,0,-1"	11	100	1	254	100
"3,63,0,-1,0,-1"	12	100	0	292	100
"3,63,0,-1,0,-1"	13	100	0	334	100
"3,63,0,-1,0,-1"	14	100	0	380	100
"3,63,0,-1,0,-1"	15	100	0	431	100
"3,63,0,-1,0,-1"	16	100	0	486	100
"3,63,0,-1,0,-1"	17	100	0	545	100
"3,63,0,-1,0,-1"	18	100	0	608	100
"3,63,0,-1,0,-1"	19	100	0	676	100
"3,63,0,-1,0,-1"	20	100	0	748	100
"3,63,0,-1,0,-1"	21	100	0	824	100
"3,63,0,-1,0,-1"	22	100	0	904	100
"3,63,0,-1,0,-1"	23	100	0	989	100
"3,63,0,-1,0,-1"	24	100	0	1078	100
"3,63,0,-1,0,-1"	25	100	0	1171	100
"3,63,0,-1,0,-1"	26	100	0	1268	100
