PROPS	name	outDoor	outDoorVisibility	computeAmbientOcclusion	noMonsterSpawn	noAdventures	noSubLevelEntrance	occupiesNodes	raisesNodes	fullCollision	dontObstructSound	dontOccludeVisibility	thirdPersonCameraIgnore	rtsCameraIgnore	havokSliceType	roomVersion	nodeBuffer	reverbEnvironment	backGroundSound	noGore	noHumans
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest2	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest3	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest4	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest5	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest6	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest7	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest8	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest9	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest10	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest21	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest22	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest23	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest24	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest25	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest26	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\SoundProps\SoundTest27	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0.5		-1	-1	-1
