"QUEST"	"name"	"code"	"style"	"nameStringKey"	"subscriberOnly"	"multiplayerOnly"	"startingQuestCheat"	"questCheatCompleted"	"closeOnComplete"	"repeatable"	"hideQuestLog"	"repeatRateInSeconds"	"skipActivateFanfare"	"skipCompleteFanfare"	"endOfActNumber"	"autoTrackOnActivate"	"autoActivateLevel"	"onlyOneDifficulty"	"questPreReqs01"	"questPreReqs02"	"questPreReqs03"	"questPreReqs04"	"questPreReqs05"	"questPreReqs06"	"questPreReqs07"	"questPreReqs08"	"currentlyUnavailable"	"minLevelPreReq"	"maxLevelPreReq"	"factionTypePreReq"	"factionAmountPreReq"	"levelsPreLoadedWith01"	"levelsPreLoadedWith02"	"levelsPreLoadedWith03"	"levelsPreLoadedWith04"	"levelsPreLoadedWith05"	"levelsPreLoadedWith06"	"levelsPreLoadedWith07"	"levelsPreLoadedWith08"	"levelsPreLoadedWith09"	"levelsPreLoadedWith10"	"levelsPreLoadedWith11"	"levelsPreLoadedWith12"	"levelsPreLoadedWith13"	"levelsPreLoadedWith14"	"levelsPreLoadedWith15"	"levelsPreLoadedWith16"	"startingItemsTreasureClass"	"removeStartingItemsOnComplete"	"offerReward"	"castGiver"	"levelStoryQuestStartsIn"	"castRewarder"	"levelRewarderNpc"	"giverItem"	"giverItemMonster"	"giverItemLevel"	"giverItemDropRate"	"level"	"levelNightmare"	"undefined1"	"experienceMultiplier"	"moneyMultiplier"	"statPoints"	"skillPoints"	"factionTypeReward"	"factionAmountReward"	"InitFunction"	"FreeFunction"	"onEnterGameFunction"	"CompleteFunction"	"warpToOpenOnActivate"	"warpToOpenOnComplete"	"itemsToRemoveOnAbandon01"	"itemsToRemoveOnAbandon02"	"itemsToRemoveOnAbandon03"	"itemsToRemoveOnAbandon04"	"itemsToRemoveOnAbandon05"	"itemsToRemoveOnAbandon06"	"itemsToRemoveOnAbandon07"	"itemsToRemoveOnAbandon08"	"itemsToRemoveOnAbandon09"	"itemsToRemoveOnAbandon10"	"itemsToRemoveOnAbandon11"	"itemsToRemoveOnAbandon12"	"itemsToRemoveOnAbandon13"	"itemsToRemoveOnAbandon14"	"itemsToRemoveOnAbandon15"	"itemsToRemoveOnAbandon16"	"itemsToRemoveOnAbandon17"	"itemsToRemoveOnAbandon18"	"itemsToRemoveOnAbandon19"	"itemsToRemoveOnAbandon20"	"itemsToRemoveOnAbandon21"	"itemsToRemoveOnAbandon22"	"itemsToRemoveOnAbandon23"	"itemsToRemoveOnAbandon24"	"itemsToRemoveOnAbandon25"	"itemsToRemoveOnAbandon26"	"itemsToRemoveOnAbandon27"	"itemsToRemoveOnAbandon28"	"itemsToRemoveOnAbandon29"	"itemsToRemoveOnAbandon30"	"itemsToRemoveOnAbandon31"	"itemsToRemoveOnAbandon32"	"itemsToRemoveOnComplete01"	"itemsToRemoveOnComplete02"	"itemsToRemoveOnComplete03"	"itemsToRemoveOnComplete04"	"itemsToRemoveOnComplete05"	"itemsToRemoveOnComplete06"	"itemsToRemoveOnComplete07"	"itemsToRemoveOnComplete08"	"itemsToRemoveOnComplete09"	"itemsToRemoveOnComplete10"	"itemsToRemoveOnComplete11"	"itemsToRemoveOnComplete12"	"itemsToRemoveOnComplete13"	"itemsToRemoveOnComplete14"	"itemsToRemoveOnComplete15"	"itemsToRemoveOnComplete16"	"itemsToRemoveOnComplete17"	"itemsToRemoveOnComplete18"	"itemsToRemoveOnComplete19"	"itemsToRemoveOnComplete20"	"itemsToRemoveOnComplete21"	"itemsToRemoveOnComplete22"	"itemsToRemoveOnComplete23"	"itemsToRemoveOnComplete24"	"itemsToRemoveOnComplete25"	"itemsToRemoveOnComplete26"	"itemsToRemoveOnComplete27"	"itemsToRemoveOnComplete28"	"itemsToRemoveOnComplete29"	"itemsToRemoveOnComplete30"	"itemsToRemoveOnComplete31"	"itemsToRemoveOnComplete32"	"versionFunction"	"removeOnJoinGame"	"beatGameOnComplete"	"weight"	"radius"	"height"	"flatZTolerance"	"allowedDRLGStyles01"	"allowedDRLGStyles02"	"allowedDRLGStyles03"	"allowedDRLGStyles04"	"allowedDRLGStyles05"	"allowedDRLGStyles06"	"allowedDRLGStyles07"	"allowedDRLGStyles08"	"allowedDRLGStyles09"	"allowedDRLGStyles10"	"allowedDRLGStyles11"	"allowedDRLGStyles12"	"allowedDRLGStyles13"	"allowedDRLGStyles14"	"allowedDRLGStyles15"	"allowedDRLGStyles16"	"levelDestinations01"	"levelDestinations02"	"levelDestinations03"	"levelDestinations04"	"levelDestinations05"	"levelDestinations06"	"levelDestinations07"	"levelDestinations08"	"layoutAdventure"	"objectAdventure"	"treasureRoomClass"	"template"	"descriptionDialog"	"inCompleteDialog"	"completeDialog"	"rewardDialog"	"unavailableDialog"	"acceptButtonText"	"timeLimit"	"objectiveMonster"	"objectiveUnitType"	"objectiveObject"	"disableSpawning"	"objectiveCount"	"collectDropRate"	"collectItem"	"explorePercent"	"spawnNodeLabel"	"spawnCount"	"nameOverrideStringKey"	"nameInLogOverrideStringKey"	"logOverrideState"	"logOverrideString"	"subLevelTypeTruthOld"	"subLevelTypeTruthNew"	"questStateAdvanceToAtSubLevelTrut"	"monsterBoss"	"globalthemeRequired"
"3,62,0,-1,0,-1"	"Tutorial"	16705	0	10713	0	0	0	0	1	0	0	0	0	1	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	1	1	31	0	0	0	0	0	-1	0	"TutorialInit"	"TutorialFree"	"TutorialOnEnterGame"		-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	1148	0	-1	-1	-1	0	1	1	-1	0		0	-1	-1	-1	-1	0	0	-1	-1	-1
"3,62,0,-1,0,-1"	"Broken"	29249	0	10852	0	0	0	0	1	0	0	0	0	1	0	1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	16	1	-1	-1	-1	-1	-1	1	1	31	0	0	0	0	0	-1	0	"BrokenInit"	"BrokenFree"			-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	1151	0	-1	-1	-1	0	1	1	-1	0		0	-1	-1	-1	-1	0	0	-1	-1	-1
"3,62,0,-1,0,-1"	"DoorFix"	28993	0	10860	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	37	1	37	1	-1	-1	-1	1	3	33	0	2	10	0	0	3	300	"DoorFixInit"	"DoorFixFree"	"DoorFixOnEnterGame"		-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	316	317	318	-1	-1	1148	0	-1	-1	-1	0	8	0.4	16	0		0	-1	-1	-1	-1	0	0	-1	-1	-1
"3,60,0,-1,0,-1"	"Intro"	27713	0	10871	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	2	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	17	-1	-1	-1	-1	1	1	31	0	8	0	0	0	-1	0	"IntroInit"	"IntroFree"			11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	1148	0	-1	-1	-1	0	1	1	-1	0		0	-1	-1	-1	-1	0	0	-1	-1	-1
"3,60,0,-1,0,-1"	"Hellyard"	17217	0	10883	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	3	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	17	7	17	-1	-1	-1	-1	1	4	32	0	3	35	0	0	-1	0	"HellyardInit"	"HellyardFree"			14	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	1148	0	-1	-1	-1	0	1	1	-1	0		0	-1	-1	-1	-1	0	0	-1	-1	-1
"3,60,0,-1,0,-1"	"TestMonkey"	17473	0	10902	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	4	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	17	7	-1	-1	-1	-1	-1	1	6	34	0	0	0	0	0	-1	0	"TestMonkeyInit"	"TestMonkeyFree"			15	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	1148	0	-1	-1	-1	0	1	1	-1	0		0	-1	-1	-1	-1	0	0	-1	-1	-1
"3,60,0,-1,0,-1"	"Truth_A"	17729	0	10917	0	0	0	0	1	0	0	0	0	0	1	1	-1	0	5	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	14	17	-1	-1	-1	-1	1	7	35	0	10	0	0	0	-1	0	"TruthAInit"	"TruthAFree"			-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	1148	0	-1	-1	-1	0	1	1	-1	0		0	-1	-1	-1	-1	2	3	51	-1	-1
"3,60,0,-1,0,-1"	"Wisdom_Chaos"	17985	0	10943	0	0	1	0	1	0	0	0	0	0	0	1	-1	0	6	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	17	7	19	-1	-1	-1	-1	1	8	36	0	0	0	0	0	-1	0	"WisdomChaosInit"	"WisdomChaosFree"			19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	1148	0	-1	-1	-1	0	1	1	-1	0		0	-1	-1	-1	-1	0	0	-1	-1	-1
"3,60,0,-1,0,-1"	"Books"	18241	0	10951	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	7	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	19	18	19	-1	-1	-1	-1	1	9	35	0	2	40	0	0	-1	0	"BooksInit"	"BooksFree"			22	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	1148	0	-1	-1	-1	0	1	1	-1	0		0	-1	-1	-1	-1	0	0	-1	-1	-1
"3,60,0,-1,0,-1"	"Stitch_A"	19523	0	10967	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	8	-1	-1	-1	-1	-1	-1	-1	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	19	18	20	-1	-1	-1	-1	1	10	36	0	0	0	0	0	-1	0	"StitchAInit"	"StitchAFree"	"StitchAOnEnterGame"		-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	1148	0	-1	-1	-1	0	8	0.6	30	0		0	-1	-1	-1	-1	0	0	-1	-1	-1
