ReferenceId	Unknown1	StringId	Unknown2	String	Attribute1	Attribute2	Attribute3	Attribute4
13934	337	RareObject	0	Rare [object]	English			
13935	3256	EpicObject	0	Epic [object]	English			
13936	794	LegendaryObject	0	Legendary [object]	English			
13937	244	MutantObject	0	Mutant [object]	English			
13938	1310	affix name apply 1	0	[set]	English			
13939	1311	affix name apply 2	0	[magic]	English			
13940	1312	affix name apply 3	0	[quality]	English			
13941	1432	affix add broken	0	Broken [item]	English			
13942	3301	affix add inferior	0	Inferior [item]	English			
13943	312	affix add superior	0	Superior [item]	English			
13944	3865	affix add improved	0	Improved [item]	English			
13945	2529	affix add experimental	0	Experimental [item]	English			
13946	2648	affix sub dam aug 1	0	Blessed [item]	English			
13947	203	affix sub dam aug 1 desc	0	Blessed	English			
13948	2649	affix sub dam aug 2	0	Sacred [item]	English			
13949	2976	affix sub dam aug 2 desc	0	Sacred	English			
13950	2650	affix sub dam aug 3	0	Divine [item]	English			
13951	1653	affix sub dam aug 3 desc	0	Divine	English			
13952	1145	affix sub dmg boost phys weap 1	0	Smashing [item]	English			
13953	2112	affix sub dmg boost phys weap 1 desc	0	Smashing	English			
13954	1146	affix sub dmg boost phys weap 2	0	Bashing [item]	English			
13955	789	affix sub dmg boost phys weap 2 desc	0	Bashing	English			
13956	1147	affix sub dmg boost phys weap 3	0	Pummeling [item]	English			
13957	3562	affix sub dmg boost phys weap 3 desc	0	Pummeling	English			
13958	4071	affix sub dmg boost fire weap 1	0	Kindled [item]	English			
13959	1734	affix sub dmg boost fire weap 1 desc	0	Kindled	English			
13960	4072	affix sub dmg boost fire weap 2	0	Inflamed [item]	English			
13961	411	affix sub dmg boost fire weap 2 desc	0	Inflamed	English			
13962	4073	affix sub dmg boost fire weap 3	0	Volcanic [item]	English			
13963	3184	affix sub dmg boost fire weap 3 desc	0	Volcanic	English			
13964	2742	affix sub dmg boost elec weap 1	0	Juiced [item]	English			
13965	2817	affix sub dmg boost elec weap 1 desc	0	Juiced	English			
13966	2743	affix sub dmg boost elec weap 2	0	Galvanized [item]	English			
13967	1494	affix sub dmg boost elec weap 2 desc	0	Galvanized	English			
13968	2744	affix sub dmg boost elec weap 3	0	Volted [item]	English			
13969	171	affix sub dmg boost elec weap 3 desc	0	Volted	English			
13970	3560	affix sub dmg boost spec weap 1	0	Eerie [item]	English			
13971	1947	affix sub dmg boost spec weap 1 desc	0	Eerie	English			
13972	3561	affix sub dmg boost spec weap 2	0	Lucent [item]	English			
13973	624	affix sub dmg boost spec weap 2 desc	0	Lucent	English			
13974	3562	affix sub dmg boost spec weap 3	0	Radiant [item]	English			
13975	3397	affix sub dmg boost spec weap 3 desc	0	Radiant	English			
13976	1568	affix sub dmg boost toxic weap 1	0	Sickening [item]	English			
13977	3635	affix sub dmg boost toxic weap 1 desc	0	Sickening	English			
13978	1569	affix sub dmg boost toxic weap 2	0	Loathsome [item]	English			
13979	2312	affix sub dmg boost toxic weap 2 desc	0	Loathsome	English			
13980	1570	affix sub dmg boost toxic weap 3	0	Tainted [item]	English			
13981	989	affix sub dmg boost toxic weap 3 desc	0	Tainted	English			
13982	3695	affix dom physical boost 1	0		English			
13983	3566	affix dom physical boost 1 desc	0		English			
13984	3696	affix dom physical boost 2	0		English			
13985	2243	affix dom physical boost 2 desc	0		English			
13986	3697	affix dom physical boost 3	0		English			
13987	920	affix dom physical boost 3 desc	0		English			
13988	3668	affix dom fire boost 1	0		English			
13989	2423	affix dom fire boost 1 desc	0		English			
13990	3669	affix dom fire boost 2	0		English			
13991	1100	affix dom fire boost 2 desc	0		English			
13992	3670	affix dom fire boost 3	0		English			
13993	3873	affix dom fire boost 3 desc	0		English			
13994	3727	affix dom electricity boost 1	0		English			
13995	2190	affix dom electricity boost 1 desc	0		English			
13996	3728	affix dom electricity boost 2	0		English			
13997	867	affix dom electricity boost 2 desc	0		English			
13998	3729	affix dom electricity boost 3	0		English			
13999	3640	affix dom electricity boost 3 desc	0		English			
14000	2496	affix dom spectral boost 1	0		English			
14001	595	affix dom spectral boost 1 desc	0		English			
14002	2497	affix dom spectral boost 2	0		English			
14003	3368	affix dom spectral boost 2 desc	0		English			
14004	2498	affix dom spectral boost 3	0		English			
14005	2045	affix dom spectral boost 3 desc	0		English			
14006	781	affix dom toxic boost 1	0		English			
14007	356	affix dom toxic boost 1 desc	0		English			
14008	782	affix dom toxic boost 2	0		English			
14009	3129	affix dom toxic boost 2 desc	0		English			
14010	783	affix dom toxic boost 3	0		English			
14011	1806	affix dom toxic boost 3 desc	0		English			
14012	407	affix sub dam vs beast 1	0	Beast Seeker's [item]	English			
14013	3638	affix sub dam vs beast 1 desc	0	Beast Seeker's	English			
14014	408	affix sub dam vs beast 2	0	Beast Tracker's [item]	English			
14015	2315	affix sub dam vs beast 2 desc	0	Beast Tracker's	English			
14016	409	affix sub dam vs beast 3	0	Beast Hunter's [item]	English			
14017	992	affix sub dam vs beast 3 desc	0	Beast Hunter's	English			
14018	3147	affix sub dam vs necro 1	0	Necro Seeker's [item]	English			
14019	3578	affix sub dam vs necro 1 desc	0	Necro Seeker's	English			
14020	3148	affix sub dam vs necro 2	0	Necro Tracker's [item]	English			
14021	2255	affix sub dam vs necro 2 desc	0	Necro Tracker's	English			
14022	3149	affix sub dam vs necro 3	0	Necro Hunter's [item]	English			
14023	932	affix sub dam vs necro 3 desc	0	Necro Hunter's	English			
14024	2430	affix sub dam vs spectral 1	0	Spectral Seeker's [item]	English			
14025	1897	affix sub dam vs spectral 1 desc	0	Spectral Seeker's	English			
14026	2431	affix sub dam vs spectral 2	0	Spectral Tracker's [item]	English			
14027	574	affix sub dam vs spectral 2 desc	0	Spectral Tracker's	English			
14028	2432	affix sub dam vs spectral 3	0	Spectral Hunter's [item]	English			
14029	3347	affix sub dam vs spectral 3 desc	0	Spectral Hunter's	English			
14030	1771	affix sub dam vs demon 1	0	Demon Seeker's [item]	English			
14031	1306	affix sub dam vs demon 1 desc	0	Demon Seeker's	English			
14032	1772	affix sub dam vs demon 2	0	Demon Tracker's [item]	English			
14033	4079	affix sub dam vs demon 2 desc	0	Demon Tracker's	English			
14034	1773	affix sub dam vs demon 3	0	Demon Hunter's [item]	English			
14035	2756	affix sub dam vs demon 3 desc	0	Demon Hunter's	English			
14036	3011	affix sub dmg aug phys weap 1	0		English			
14037	3282	affix sub dmg aug phys weap 1 desc	0		English			
14038	3012	affix sub dmg aug phys weap 2	0		English			
14039	1959	affix sub dmg aug phys weap 2 desc	0		English			
14040	3013	affix sub dmg aug phys weap 3	0		English			
14041	636	affix sub dmg aug phys weap 3 desc	0		English			
14042	1841	affix sub dmg aug fire weap 1	0		English			
14043	2904	affix sub dmg aug fire weap 1 desc	0		English			
14044	1842	affix sub dmg aug fire weap 2	0		English			
14045	1581	affix sub dmg aug fire weap 2 desc	0		English			
14046	1843	affix sub dmg aug fire weap 3	0		English			
14047	258	affix sub dmg aug fire weap 3 desc	0		English			
14048	512	affix sub dmg aug elec weap 1	0		English			
14049	3987	affix sub dmg aug elec weap 1 desc	0		English			
14050	513	affix sub dmg aug elec weap 2	0		English			
14051	2664	affix sub dmg aug elec weap 2 desc	0		English			
14052	514	affix sub dmg aug elec weap 3	0		English			
14053	1341	affix sub dmg aug elec weap 3 desc	0		English			
14054	1330	affix sub dmg aug spec weap 1	0		English			
14055	3117	affix sub dmg aug spec weap 1 desc	0		English			
14056	1331	affix sub dmg aug spec weap 2	0		English			
14057	1794	affix sub dmg aug spec weap 2 desc	0		English			
14058	1332	affix sub dmg aug spec weap 3	0		English			
14059	471	affix sub dmg aug spec weap 3 desc	0		English			
14060	978	affix sub dmg aug toxic weap 1	0		English			
14061	1869	affix sub dmg aug toxic weap 1 desc	0		English			
14062	979	affix sub dmg aug toxic weap 2	0		English			
14063	546	affix sub dmg aug toxic weap 2 desc	0		English			
14064	980	affix sub dmg aug toxic weap 3	0		English			
14065	3319	affix sub dmg aug toxic weap 3 desc	0		English			
14066	2005	affix dom physical aug mod 1	0	Hammering [item]	English			
14067	3020	affix dom physical aug mod 1 desc	0	Hammering	English			
14068	2006	affix dom physical aug mod 2	0	Pounding [item]	English			
14069	1697	affix dom physical aug mod 2 desc	0	Pounding	English			
14070	2007	affix dom physical aug mod 3	0	Thunderous [item]	English			
14071	374	affix dom physical aug mod 3 desc	0	Thunderous	English			
14072	1906	affix dom fire aug mod 1	0	Fiery [item]	English			
14073	2925	affix dom fire aug mod 1 desc	0	Fiery	English			
14074	1907	affix dom fire aug mod 2	0	Flaming [item]	English			
14075	1602	affix dom fire aug mod 2 desc	0	Flaming	English			
14076	1908	affix dom fire aug mod 3	0	Blazing [item]	English			
14077	279	affix dom fire aug mod 3 desc	0	Blazing	English			
14078	757	affix dom electricity aug mod 1	0	Shocking [item]	English			
14079	3436	affix dom electricity aug mod 1 desc	0	Shocking	English			
14080	758	affix dom electricity aug mod 2	0	Jolting [item]	English			
14081	2113	affix dom electricity aug mod 2 desc	0	Jolting	English			
14082	759	affix dom electricity aug mod 3	0	Electrified [item]	English			
14083	790	affix dom electricity aug mod 3 desc	0	Electrified	English			
14084	3070	affix dom spectral aug mod 1	0	Spectral [item]	English			
14085	3049	affix dom spectral aug mod 1 desc	0	Spectral	English			
14086	3071	affix dom spectral aug mod 2	0	Ghostly [item]	English			
14087	1726	affix dom spectral aug mod 2 desc	0	Ghostly	English			
14088	3072	affix dom spectral aug mod 3	0	Unearthly [item]	English			
14089	403	affix dom spectral aug mod 3 desc	0	Unearthly	English			
14090	2243	affix dom toxic aug mod 1	0	Poisonous [item]	English			
14091	3538	affix dom toxic aug mod 1 desc	0	Poisonous	English			
14092	2244	affix dom toxic aug mod 2	0	Noxious [item]	English			
14093	2215	affix dom toxic aug mod 2 desc	0	Noxious	English			
14094	2245	affix dom toxic aug mod 3	0	Toxic [item]	English			
14095	892	affix dom toxic aug mod 3 desc	0	Toxic	English			
14096	3432	affix dom physical aug relic 1	0	Stone [item]	English			
14097	3355	affix dom physical aug relic 1 desc	0	Stone	English			
14098	3433	affix dom physical aug relic 2	0	Granite [item]	English			
14099	2032	affix dom physical aug relic 2 desc	0	Granite	English			
14100	3434	affix dom physical aug relic 3	0	Marble [item]	English			
14101	709	affix dom physical aug relic 3 desc	0	Marble	English			
14102	2952	affix dom electricity aug relic 1	0	Copper [item]	English			
14103	3515	affix dom electricity aug relic 1 desc	0	Copper	English			
14104	2953	affix dom electricity aug relic 2	0	Aluminum [item]	English			
