id	fk	stringid	u1	string	a1	a2	a3	a4
15178	6666	respec unique	0	Unique Skill Retrainer	Singular	Default		
15178	6666	respec unique	0	Unique Skill Retrainers	Plural			
15179	6667	respec perks	0	Expertise Retrainer	Singular	Default		
15179	6667	respec perks	0	Expertise Retrainers	Plural			
15180	6668	respec perks unique	0	Unique Expertise Retrainer	Singular	Default		
15180	6668	respec perks unique	0	Unique Expertise Retrainers	Plural			
15181	6669	Skill Token Shock Buildup	0	Shock Buildup Skill Token	Singular	Default		
15181	6669	Skill Token Shock Buildup	0	Shock Buildup Skill Tokens	Plural			
15182	6670	Skill Token Surge Heal	0	Icon of the Archangel	Singular	Default		
15182	6670	Skill Token Surge Heal	0	Icons of the Archangel	Plural			
15183	6671	Skill Token Surge Blast	0	Surge Blast Skill Token	Singular	Default		
15183	6671	Skill Token Surge Blast	0	Surge Blast Skill Tokens	Plural			
15184	6672	Skill Token Surge Crusader	0	Bane of St. George	Singular	Default		
15184	6672	Skill Token Surge Crusader	0	Bane of St. George	Plural			
15185	6673	Skill Token Surge Berserker	0	Surge Berserker Skill Token	Singular	Default		
15185	6673	Skill Token Surge Berserker	0	Surge Berserker Skill Tokens	Plural			
15186	6674	Skill Token Power Steal	0	Seal of the Bishop	Singular	Default		
15186	6674	Skill Token Power Steal	0	Seals of the Bishop	Plural			
15187	6675	Skill Token Electrical Prayer	0	Seal of Sumerisle	Singular	Default		
15187	6675	Skill Token Electrical Prayer	0	Seals of Sumerisle	Plural			
15188	6676	Skill Token Shield Toss	0	Orbital Stabilizer	Singular	Default		
15188	6676	Skill Token Shield Toss	0	Orbital Stabilizers	Plural			
15189	6677	Skill Token Aura Stability	0	Cross of St. Patrick	Singular	Default		
15189	6677	Skill Token Aura Stability	0	Crosses of St. Patrick	Plural			
15190	6678	Skill Token Grenade Mastery	0	Grenade Mastery Skill Token	Singular	Default		
15190	6678	Skill Token Grenade Mastery	0	Grenade Mastery Skill Tokens	Plural			
15191	6679	Skill Token EMP Blast	0	ElectroMag	Singular	Default		
15191	6679	Skill Token EMP Blast	0	ElectroMags	Plural			
15192	6680	Skill Token Flash Bang	0	Nesmith's Blast Cell	Singular	Default		
15192	6680	Skill Token Flash Bang	0	Nesmith's Blast Cells	Plural			
15193	6681	Skill Token Decoy	0	Decoy Skill Token	Singular	Default		
15193	6681	Skill Token Decoy	0	Decoy Skill Tokens	Plural			
15194	6682	Skill Token Sniper Stealth	0	Ghillie Suit	Singular	Default		
15194	6682	Skill Token Sniper Stealth	0	Ghillie Suits	Plural			
15195	6683	Skill Token Sacrifice Device Bomber	0	Sacrifice Device Bomber Skill Token	Singular	Default		
15195	6683	Skill Token Sacrifice Device Bomber	0	Sacrifice Device Bomber Skill Tokens	Plural			
15196	6684	Skill Token Spider Mines	0	Spider Mine Schematic	Singular	Default		
15196	6684	Skill Token Spider Mines	0	Spider Mine Schematics	Plural			
15197	6685	Skill Token Buff Turret	0	Buff Turret Skill Token	Singular	Default		
15197	6685	Skill Token Buff Turret	0	Buff Turret Skill Tokens	Plural			
15198	6686	Skill Token Turret Attack Mode	0	Scorpion Targeting System	Singular	Default		
15198	6686	Skill Token Turret Attack Mode	0	Scorpion Targeting Systems	Plural			
15199	6687	Skill Token Transform Zombie	0	Heart of Talox	Singular	Default		
15199	6687	Skill Token Transform Zombie	0	Hearts of Talox	Plural			
15200	6688	Skill Token Zombie Lord	0	Skull of Dessicator	Singular	Default		
15200	6688	Skill Token Zombie Lord	0	Skulls of Dessicator	Plural			
15201	6689	Skill Token Command Laser	0	Command Laser Skill Token	Singular	Default		
