"TREASURE"	"TREASURE"	"allowUnitTypes1"	"allowUnitTypes2"	"allowUnitTypes3"	"allowUnitTypes4"	"allowUnitTypes5"	"allowUnitTypes6"	"globalThemeRequired"	"unknown02"	"pickTypes"	"picks"	"undefined01"	"undefined02"	"undefined03"	"undefined04"	"undefined05"	"noDrop"	"levelBoost"	"moneyChanceMultiplier"	"moneyLuckChanceMultiplier"	"moneyAmountMultiplier"	"item1m"	"item1"	"value1"	"item2m"	"item2"	"value2"	"item3m"	"item3"	"value3"	"item4m"	"item4"	"value4"	"item5m"	"item5"	"value5"	"item6m"	"item6"	"value6"	"item7m"	"item7"	"value7"	"item8m"	"item8"	"value8"	"spawnCondition"	"spawnFromMonsterUnitType"	"spawnFromLevelTheme"
"3,62,0,-1,0,-1"	"defaultmonster"	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	1	1	1	3	1	1	3	2	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"defaultmonsterloot"	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	80	0	1	1	1	3	371	12	2	15	2	3	376	20	2	75	8	2	123	4	2	130	16	0	-1	0	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"defaultmonsterevent"	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	95	0	1	1	1	3	425	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"defaultmonsterchampion"	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	1	1	1	3	4	2	3	-1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"defaultmonsterchampionloot"	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	1	1	1	4	0	1	3	371	10	2	15	2	3	376	16	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"defaultboss"	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	9999	1	5	3	6	1	3	7	1	3	8	1	3	552	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"defaultboss2things"	0	0	0	0	0	0	-1	0	0	1	0	0	2	0	0	0	"710,26,0,26,3,3,33,0"	1	1	1	4	0	1	4	6	1	3	371	8	2	15	6	3	376	10	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"defaultbossgoodthing"	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	"710,26,1,26,3,3,33,0"	1	1	1	4	0	1	4	1	1	3	371	2	3	376	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"defaultbossjunk"	0	0	0	0	0	0	-1	0	0	1	0	0	5	0	0	0	0	1	1	1	3	371	4	2	15	1	3	376	6	2	75	8	2	123	4	2	130	16	7	-1	40	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"cheapmonster"	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	96	0	1	1	0.1	3	371	8	2	15	1	3	376	12	2	75	12	2	123	4	2	130	16	0	-1	0	0	-1	0	0	-1	-1
"3,62,0,-1,0,-1"	"notreasure"	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,48,10,-1,0,-1"		0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,48,10,-1,0,-1"		0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
"3,48,10,-1,0,-1"		0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
