WARDROBE_MODEL	modelGroup	appearanceGroup	appearanceGroup2	undefined2	fileName	defaultMaterial	undefined3	partGroup	undefinedBool1	undefinedBool2	undefinedBool3	undefined4	undefined5	boxMinX	boxMinY	boxMinZ	boxMaxX	boxMaxY	boxMaxZ
0	1	2	-1	0	data/units/players/bodies/male_fp/male_bare_arms.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	1	3	-1	1	data/units/players/bodies/female_fp/female_bare_arms.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	2			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	3			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	7	4	-1	4	data/units/players/templar/templar_male_fp/powered_light/tm_powered_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	8	4	-1	5	data/units/players/templar/templar_male_fp/powered_heavy/tm_powered_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	9	4	-1	6	data/units/players/templar/templar_male_fp/tech_light/tm_fp_tech_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	3	4	-1	7	data/units/players/templar/templar_male_fp/arcane_light/tm_fp_arcane_light_mesh.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	4	4	-1	8	data/units/players/templar/templar_male_fp/arcane_heavy/tm_fp_arcane_heavy_mesh.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	10	4	-1	9	data/units/players/templar/templar_male_fp/tech_heavy/tm_tech_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	10			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	11			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	7	7	-1	12	data/units/players/templar/templar_female_fp/power_light/tf_power_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	8	7	-1	13	data/units/players/templar/templar_female_fp/power_heavy/tf_power_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	9	7	-1	14	data/units/players/templar/templar_female_fp/tech_light/tf_tech_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	10	7	-1	15	data/units/players/templar/templar_female_fp/tech_heavy/tf_tech_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	3	7	-1	16	data/units/players/templar/templar_female_fp/power_light/tf_power_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	4	7	-1	17	data/units/players/templar/templar_female_fp/power_heavy/tf_power_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	11	5	-1	18	data/units/players/cabalist/cabalist_male_fp/focus_a/FocusItem_A.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	2	5	-1	19	data/units/players/cabalist/cabalist_male_fp/apprentice/cm_apprentice.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
