"FONTCOLOR"	"color"	"blue"	"green"	"red"	"alpha"	"fontColor"
"3,63,0,-1,0,-1"	"DO_NOT_USE_ME"	0	0	0	0	-1
"3,63,0,-1,0,-1"	"black"	0	0	0	255	-1
"3,63,0,-1,0,-1"	"white"	255	255	255	255	-1
"3,63,0,-1,0,-1"	"light_red"	0	0	255	255	-1
"3,63,0,-1,0,-1"	"light_green"	0	255	0	255	-1
"3,63,0,-1,0,-1"	"light_blue"	255	0	0	255	-1
"3,63,0,-1,0,-1"	"light_yellow"	0	255	255	255	-1
"3,63,0,-1,0,-1"	"light_cyan"	255	255	0	255	-1
"3,63,0,-1,0,-1"	"light_purple"	255	0	255	255	-1
"3,63,0,-1,0,-1"	"light_gray"	192	192	192	255	-1
"3,63,0,-1,0,-1"	"red"	0	0	128	255	-1
"3,63,0,-1,0,-1"	"green"	113	200	125	255	-1
"3,63,0,-1,0,-1"	"blue"	224	203	132	255	-1
"3,63,0,-1,0,-1"	"yellow"	121	128	242	255	-1
"3,63,0,-1,0,-1"	"cyan"	128	128	0	255	-1
"3,63,0,-1,0,-1"	"purple"	195	142	150	255	-1
"3,63,0,-1,0,-1"	"gray"	128	128	128	255	-1
"3,63,0,-1,0,-1"	"dark_red"	0	0	64	255	-1
"3,63,0,-1,0,-1"	"dark_green"	0	64	0	255	-1
"3,63,0,-1,0,-1"	"dark_blue"	64	0	0	255	-1
"3,63,0,-1,0,-1"	"dark_yellow"	0	64	64	255	-1
"3,63,0,-1,0,-1"	"dark_cyan"	64	64	0	255	-1
"3,63,0,-1,0,-1"	"dark_purple"	64	0	64	255	-1
"3,63,0,-1,0,-1"	"dark_gray"	64	64	64	255	-1
"3,63,0,-1,0,-1"	"very_light_red"	92	92	255	255	-1
"3,63,0,-1,0,-1"	"very_light_green"	96	255	96	255	-1
"3,63,0,-1,0,-1"	"very_light_blue"	255	96	96	255	-1
"3,63,0,-1,0,-1"	"very_light_yellow"	128	255	255	255	-1
