"UNITTYPES"	"name"	"code"	"isA0"	"isA1"	"isA2"	"isA3"	"isA4"	"isA5"	"isA6"	"isA7"	"isA8"	"isA9"	"isA10"	"isA11"	"isA12"	"isA13"	"isA14"	"isA15"	"String"
"3,62,0,-1,0,-1"		12336	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"any"	12592	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"object"	12848	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"item"	13104	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"bigitem"	13360	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"smallitem"	13616	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"creature"	13872	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"monster"	14128	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"missile"	14384	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"player"	14640	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"undead"	16688	439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	479
"3,62,0,-1,0,-1"	"beast"	16944	439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	480
"3,62,0,-1,0,-1"	"spectral"	17200	439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	481
"3,62,0,-1,0,-1"	"demon"	17456	439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	482
"3,62,0,-1,0,-1"	"humanoid"	17712	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"mod"	17968	5	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"weapon"	18224	476	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"armor"	18480	476	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"misc"	18736	3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"beltable"	18992	3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"clothing"	19248	476	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"shoulderpads"	19504	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	452
"3,62,0,-1,0,-1"	"goggles"	19760	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	467
